Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	3.230779887	1.17271626
W1/10	W1	1	10	3.015494744	1.103744136
W1/2	W1	1	2	3.101150212	1.131742775
W1/3	W1	1	3	3.157114117	1.149612263
W1/4	W1	1	4	3.156976854	1.149587765
W1/5	W1	1	5	2.879512584	1.057457946
W1/6	W1	1	6	3.302575268	1.194683911
W1/7	W1	1	7	3.059475504	1.118231304
W1/8	W1	1	8	3.456116974	1.240142806
W1/9	W1	1	9	3.03809093	1.111113228
W12/1	W12	12	1	10.09374421	2.311895845
W12/10	W12	12	10	9.437244919	2.244639998
W12/2	W12	12	2	8.393208262	2.127421472
W12/3	W12	12	3	9.570507234	2.258478467
W12/4	W12	12	4	9.791454754	2.281509929
W12/5	W12	12	5	9.933010466	2.295859336
W12/6	W12	12	6	9.602643614	2.26189609
W12/7	W12	12	7	9.918676114	2.29435698
W12/8	W12	12	8	9.875653326	2.290035267
W12/9	W12	12	9	10.52439102	2.353694393
W15/1	W15	15	1	11.16140118	2.411915771
W15/10	W15	15	10	11.85321171	2.472598668
W15/11	W15	15	11	10.31769073	2.33376032
W15/12	W15	15	12	10.94340707	2.388991887
W15/13	W15	15	13	10.68345122	2.367962443
W15/14	W15	15	14	11.03388471	2.395639517
W15/15	W15	15	15	11.56042763	2.447358635
W15/16	W15	15	16	11.28042207	2.408573963
W15/17	W15	15	17	10.8073013	2.376069283
W15/18	W15	15	18	12.94510668	2.560233801
W15/19	W15	15	19	10.50946793	2.348097389
W15/2	W15	15	2	11.17431919	2.413572789
W15/20	W15	15	20	11.94055181	2.479878362
W15/3	W15	15	3	11.73135376	2.462261009
W15/4	W15	15	4	9.205601163	2.219801917
W15/5	W15	15	5	11.60106301	2.451095926
W15/6	W15	15	6	10.72681909	2.372735431
W15/7	W15	15	7	11.09844599	2.406679147
W15/8	W15	15	8	12.36565442	2.514901004
W15/9	W15	15	9	11.40396021	2.43396051
W2/1	W2	2	1	4.24353891	1.445393955
W2/10	W2	2	10	4.109279553	1.413236956
W2/2	W2	2	2	4.401266736	1.48184004
W2/3	W2	2	3	3.824899179	1.341479583
W2/4	W2	2	4	4.135873827	1.419695937
W2/5	W2	2	5	4.493808386	1.502657592
W2/6	W2	2	6	3.994831228	1.384967464
W2/7	W2	2	7	3.752970772	1.322534055
W2/8	W2	2	8	4.140763186	1.420768134
W2/9	W2	2	9	3.754037762	1.322790321
W3/1	W3	3	1	4.470389401	1.497396974
W3/10	W3	3	10	4.598030154	1.525608646
W3/2	W3	3	2	4.756129266	1.559421435
W3/3	W3	3	3	5.274648036	1.662908672
W3/4	W3	3	4	5.153881875	1.639443292
W3/5	W3	3	5	5.102378692	1.629634181
W3/6	W3	3	6	5.083070757	1.625890543
W3/7	W3	3	7	4.935120641	1.596296713
W3/8	W3	3	8	4.760690597	1.560285545
W3/9	W3	3	9	5.08779727	1.626844814
W4/1	W4	4	1	5.238114686	1.655934444
W4/10	W4	4	10	4.974410904	1.604305082
W4/2	W4	4	2	5.122312415	1.633586806
W4/3	W4	4	3	5.787932466	1.755744904
W4/4	W4	4	4	6.03921318	1.798245253
W4/5	W4	4	5	5.456667321	1.696810099
W4/6	W4	4	6	5.62303913	1.726818693
W4/7	W4	4	7	5.621976328	1.726683194
W4/8	W4	4	8	4.85423276	1.579724949
W4/9	W4	4	9	5.244198025	1.65703855
W5/1	W5	5	1	5.643620818	1.73052371
W5/10	W5	5	10	5.822038421	1.761515362
W5/2	W5	5	2	5.297024501	1.667092073
W5/3	W5	5	3	5.77399289	1.753333115
W5/4	W5	5	4	5.992052142	1.790402391
W5/5	W5	5	5	4.562992026	1.517963169
W5/6	W5	5	6	5.149270186	1.638792475
W5/7	W5	5	7	5.755894808	1.750025735
W5/8	W5	5	8	6.084015861	1.805621713
W5/9	W5	5	9	6.382654042	1.853544363
W7/1	W7	7	1	7.120311394	1.962932553
W7/10	W7	7	10	6.60980951	1.888526435
W7/2	W7	7	2	7.722591923	2.04412339
W7/3	W7	7	3	6.107963475	1.809494695
W7/4	W7	7	4	7.568148365	2.023924704
W7/5	W7	7	5	5.558288807	1.715282286
W7/6	W7	7	6	6.117719061	1.810851696
W7/7	W7	7	7	7.288895819	1.986259318
W7/8	W7	7	8	6.182540556	1.821696125
W7/9	W7	7	9	8.970477656	2.193937134
W9/1	W9	9	1	9.450420192	2.246015981
W9/10	W9	9	10	8.091651812	2.090705137
W9/2	W9	9	2	8.32981142	2.119821796
W9/3	W9	9	3	7.951794274	2.073323013
W9/4	W9	9	4	8.452471117	2.134458793
W9/5	W9	9	5	7.404807496	2.002116477
W9/6	W9	9	6	9.647004601	2.266646676
W9/7	W9	9	7	7.966170109	2.074925632
W9/8	W9	9	8	8.150050708	2.098005834
W9/9	W9	9	9	8.97553253	2.19449066
