Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	3.131698413	1.141568449
W1/10	W1	1	10	2.898087521	1.06349487
W1/2	W1	1	2	3.662533635	1.298098266
W1/3	W1	1	3	2.965774956	1.086988787
W1/4	W1	1	4	2.840799139	1.043907774
W1/5	W1	1	5	2.923765652	1.072846826
W1/6	W1	1	6	3.43285872	1.233308784
W1/7	W1	1	7	3.482533224	1.247657505
W1/8	W1	1	8	3.057496093	1.117349639
W1/9	W1	1	9	3.013442781	1.103031206
W12/1	W12	12	1	10.60428182	2.361111088
W12/10	W12	12	10	8.783548022	2.172876888
W12/2	W12	12	2	10.05838041	2.308358479
W12/3	W12	12	3	9.581630021	2.259724996
W12/4	W12	12	4	9.287756696	2.228601534
W12/5	W12	12	5	11.04655286	2.402019085
W12/6	W12	12	6	8.181078753	2.101817655
W12/7	W12	12	7	9.487748417	2.249929465
W12/8	W12	12	8	9.498748367	2.251111988
W12/9	W12	12	9	9.577893722	2.259446447
W2/1	W2	2	1	3.903104233	1.361766861
W2/10	W2	2	10	3.774128986	1.328168006
W2/2	W2	2	2	4.213948761	1.438378453
W2/3	W2	2	3	4.177017859	1.429565307
W2/4	W2	2	4	3.677720561	1.301864504
W2/5	W2	2	5	3.790407863	1.332464731
W2/6	W2	2	6	3.926696122	1.367747655
W2/7	W2	2	7	3.515357811	1.257134936
W2/8	W2	2	8	3.618061495	1.285923028
W2/9	W2	2	9	3.810174215	1.337672914
W3/1	W3	3	1	4.550604444	1.514990624
W3/10	W3	3	10	4.110128537	1.41268674
W3/2	W3	3	2	4.72923656	1.553762992
W3/3	W3	3	3	4.546289647	1.514268699
W3/4	W3	3	4	4.197810998	1.434563061
W3/5	W3	3	5	4.686406507	1.54466565
W3/6	W3	3	6	4.33309901	1.466272718
W3/7	W3	3	7	4.935372336	1.596427601
W3/8	W3	3	8	4.115901571	1.414831834
W3/9	W3	3	9	4.92978852	1.595294648
W4/1	W4	4	1	4.532091168	1.511183046
W4/10	W4	4	10	5.265577178	1.661187609
W4/2	W4	4	2	5.097644182	1.628778337
W4/3	W4	4	3	4.8928256	1.587736184
W4/4	W4	4	4	5.780351196	1.754432042
W4/5	W4	4	5	5.182166707	1.645210601
W4/6	W4	4	6	5.66360409	1.733978311
W4/7	W4	4	7	5.553235598	1.714326183
W4/8	W4	4	8	5.152117483	1.639404771
W4/9	W4	4	9	5.198104691	1.648245753
W5/1	W5	5	1	5.345960178	1.676322058
W5/10	W5	5	10	5.413688491	1.688921809
W5/2	W5	5	2	5.717663973	1.743558177
W5/3	W5	5	3	5.733635341	1.746326872
W5/4	W5	5	4	4.316483951	1.462395338
W5/5	W5	5	5	6.619399739	1.890004093
W5/6	W5	5	6	5.486832307	1.702162321
W5/7	W5	5	7	5.514327503	1.707341695
W5/8	W5	5	8	5.851368252	1.766642306
W5/9	W5	5	9	6.076946095	1.804499774
W7/1	W7	7	1	6.249513901	1.832503685
W7/10	W7	7	10	6.52847336	1.876144048
W7/2	W7	7	2	7.504379959	2.015466772
W7/3	W7	7	3	6.187873754	1.822588487
W7/4	W7	7	4	6.861368458	1.925851552
W7/5	W7	7	5	6.02000995	1.795069676
W7/6	W7	7	6	6.516312602	1.874302259
W7/7	W7	7	7	5.143508182	1.637696225
W7/8	W7	7	8	6.860199149	1.925611917
W7/9	W7	7	9	6.415126196	1.858656006
W9/1	W9	9	1	7.521953536	2.017789542
W9/10	W9	9	10	7.231965281	1.978471324
W9/2	W9	9	2	8.235590194	2.108439052
W9/3	W9	9	3	6.581470257	1.884235314
W9/4	W9	9	4	9.767432518	2.278977168
W9/5	W9	9	5	8.575790381	2.148890347
W9/6	W9	9	6	7.877473626	2.063996863
W9/7	W9	9	7	7.477480072	2.011892178
W9/8	W9	9	8	7.568822451	2.024035047
W9/9	W9	9	9	7.49811946	2.01463242
