Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	3.038398447	1.111317587
W1/10	W1	1	10	2.342598297	0.851186532
W1/2	W1	1	2	3.161932903	1.151040398
W1/3	W1	1	3	2.881092317	1.058169403
W1/4	W1	1	4	3.112149411	1.135309949
W1/5	W1	1	5	2.535264881	0.929892113
W1/6	W1	1	6	2.429108478	0.887450097
W1/7	W1	1	7	3.163510889	1.151515614
W1/8	W1	1	8	3.069627534	1.121535201
W1/9	W1	1	9	2.78029328	1.022506787
W12/1	W12	12	1	10.25732217	2.327930117
W12/10	W12	12	10	10.36183034	2.338076464
W12/2	W12	12	2	8.660985546	2.15870075
W12/3	W12	12	3	9.065647199	2.204125858
W12/4	W12	12	4	10.39388112	2.341149711
W12/5	W12	12	5	9.180234751	2.217029081
W12/6	W12	12	6	10.40854348	2.342598468
W12/7	W12	12	7	9.937257398	2.296282764
W12/8	W12	12	8	8.771710508	2.171530197
W12/9	W12	12	9	8.607354998	2.152457644
W17/1	W17	17	1	12.81368505	2.550513588
W17/10	W17	17	10	10.85272115	2.384266493
W17/2	W17	17	2	11.25959635	2.421204139
W17/3	W17	17	3	10.86049399	2.385085721
W17/4	W17	17	4	13.708951	2.618047739
W17/5	W17	17	5	11.16842525	2.413086013
W17/6	W17	17	6	12.12152765	2.494846849
W17/7	W17	17	7	9.814573443	2.283828783
W17/8	W17	17	8	11.30479155	2.424917641
W17/9	W17	17	9	11.71600058	2.460931537
W2/1	W2	2	1	3.85659391	1.349625082
W2/10	W2	2	10	3.874018632	1.354106974
W2/2	W2	2	2	4.005054871	1.387507168
W2/3	W2	2	3	3.882331726	1.356419819
W2/4	W2	2	4	3.921686987	1.366520428
W2/5	W2	2	5	3.371777377	1.215437245
W2/6	W2	2	6	3.308551627	1.196485322
W2/7	W2	2	7	3.632389777	1.289865794
W2/8	W2	2	8	3.581167424	1.275688843
W2/9	W2	2	9	3.714606481	1.311630181
W3/1	W3	3	1	4.08754478	1.407938084
W3/10	W3	3	10	3.938464759	1.370651981
W3/2	W3	3	2	4.043644121	1.397039691
W3/3	W3	3	3	4.510641727	1.50638869
W3/4	W3	3	4	4.22291374	1.440448859
W3/5	W3	3	5	4.333809762	1.466345901
W3/6	W3	3	6	5.449653664	1.695545366
W3/7	W3	3	7	3.369016894	1.214620767
W3/8	W3	3	8	3.785148787	1.331018476
W3/9	W3	3	9	4.184304971	1.431302033
W4/1	W4	4	1	4.499356462	1.503647903
W4/10	W4	4	10	4.712253036	1.550086007
W4/2	W4	4	2	4.584694902	1.522714561
W4/3	W4	4	3	5.05195157	1.619666217
W4/4	W4	4	4	5.064717902	1.622287691
W4/5	W4	4	5	5.566759732	1.716802187
W4/6	W4	4	6	4.731844119	1.554261447
W4/7	W4	4	7	5.349118434	1.676841493
W4/8	W4	4	8	4.463501851	1.495827925
W4/9	W4	4	9	4.504680033	1.50509448
W5/1	W5	5	1	5.955195364	1.784083211
W5/10	W5	5	10	5.920656418	1.778447186
W5/2	W5	5	2	5.061482038	1.621444954
W5/3	W5	5	3	5.121140921	1.633377016
W5/4	W5	5	4	5.092332957	1.627697294
W5/5	W5	5	5	5.832372306	1.763423392
W5/6	W5	5	6	4.980749639	1.605566072
W5/7	W5	5	7	5.423749123	1.690772569
W5/8	W5	5	8	6.350969534	1.848592286
W5/9	W5	5	9	5.454780647	1.69626823
W7/1	W7	7	1	7.94025657	2.071923002
W7/10	W7	7	10	6.988270683	1.944176501
W7/2	W7	7	2	6.739086113	1.907901367
W7/3	W7	7	3	6.381460001	1.853396862
W7/4	W7	7	4	6.246394857	1.831464504
W7/5	W7	7	5	6.661940999	1.89629896
W7/6	W7	7	6	6.649615096	1.894422199
W7/7	W7	7	7	7.141786623	1.965938309
W7/8	W7	7	8	6.111272193	1.810133331
W7/9	W7	7	9	7.343997018	1.99386402
W9/1	W9	9	1	8.340238627	2.12098465
W9/10	W9	9	10	7.410987183	2.002957628
W9/2	W9	9	2	7.869203666	2.062953362
W9/3	W9	9	3	9.594836316	2.261212236
W9/4	W9	9	4	8.611413876	2.153088443
W9/5	W9	9	5	10.68985861	2.369293615
W9/6	W9	9	6	7.941468249	2.071675598
W9/7	W9	9	7	7.147210302	1.966722015
W9/8	W9	9	8	7.61761115	2.030041413
W9/9	W9	9	9	7.846951836	2.060089867
