Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W12/1	W12	12	1	8.921652793	2.188479981
W12/10	W12	12	10	7.818781297	2.056144708
W12/2	W12	12	2	10.44105808	2.345683016
W12/3	W12	12	3	9.086132138	2.20674797
W12/4	W12	12	4	9.049901081	2.202743813
W12/5	W12	12	5	6.821492253	1.920012856
W12/6	W12	12	6	7.770710412	2.049669126
W12/7	W12	12	7	9.978741828	2.300454876
W12/8	W12	12	8	9.947069415	2.297240397
W12/9	W12	12	9	8.139560662	2.096734753
W17/1	W17	17	1	10.19640889	2.322033802
W17/10	W17	17	10	10.50659605	2.352002645
W17/2	W17	17	2	11.14224875	2.410740702
W17/3	W17	17	3	11.15299633	2.411704583
W17/4	W17	17	4	10.17792726	2.319117536
W17/5	W17	17	5	11.09718423	2.406681752
W17/6	W17	17	6	9.714127665	2.27355841
W17/7	W17	17	7	10.05415261	2.307229477
W17/8	W17	17	8	11.06230727	2.402608721
W17/9	W17	17	9	10.87332103	2.386310959
W2/1	W2	2	1	3.137919133	1.143526155
W2/10	W2	2	10	3.037926139	1.111109768
W2/2	W2	2	2	3.211576928	1.166731312
W2/3	W2	2	3	3.532018124	1.261843296
W2/4	W2	2	4	3.736105956	1.318039759
W2/5	W2	2	5	3.025541581	1.107087376
W2/6	W2	2	6	3.256151919	1.1805454
W2/7	W2	2	7	3.465431195	1.242835615
W2/8	W2	2	8	3.358411562	1.211424081
W2/9	W2	2	9	2.949001465	1.081335844
W3/1	W3	3	1	3.975481132	1.380137741
W3/10	W3	3	10	4.097540606	1.410339575
W3/2	W3	3	2	4.456433822	1.494264747
W3/3	W3	3	3	4.478232419	1.499208538
W3/4	W3	3	4	4.460818812	1.495232142
W3/5	W3	3	5	4.025066823	1.392537972
W3/6	W3	3	6	4.278224496	1.453536059
W3/7	W3	3	7	4.243803987	1.445422038
W3/8	W3	3	8	4.43015513	1.488379987
W3/9	W3	3	9	3.889408713	1.358251564
W4/1	W4	4	1	4.832106213	1.575232636
W4/10	W4	4	10	5.215645387	1.651617651
W4/2	W4	4	2	4.873028984	1.583704992
W4/3	W4	4	3	4.890290292	1.587166583
W4/4	W4	4	4	5.966839936	1.786212644
W4/5	W4	4	5	4.405475254	1.48282911
W4/6	W4	4	6	4.147228325	1.422424051
W4/7	W4	4	7	4.184382109	1.431358627
W4/8	W4	4	8	4.642780911	1.535301301
W4/9	W4	4	9	3.705425601	1.309794839
W5/1	W5	5	1	5.281972181	1.663973827
W5/10	W5	5	10	5.942342228	1.782047783
W5/2	W5	5	2	5.990433572	1.79012905
W5/3	W5	5	3	5.217265542	1.651954157
W5/4	W5	5	4	5.166858605	1.642246352
W5/5	W5	5	5	4.253227362	1.447645352
W5/6	W5	5	6	6.647501939	1.894238739
W5/7	W5	5	7	4.739094974	1.555827709
W5/8	W5	5	8	5.893092665	1.773780838
W5/9	W5	5	9	5.174572824	1.643752452
W7/1	W7	7	1	6.119205917	1.811407706
W7/10	W7	7	10	5.18525829	1.645800571
W7/2	W7	7	2	5.998166094	1.791127647
W7/3	W7	7	3	5.407823879	1.687672916
W7/4	W7	7	4	7.32479285	1.991176082
W7/5	W7	7	5	5.046962	1.618768839
W7/6	W7	7	6	6.68048132	1.898991764
W7/7	W7	7	7	6.68046191	1.899170619
W7/8	W7	7	8	6.940778494	1.937405023
W7/9	W7	7	9	5.134325012	1.635926636
W9/1	W9	9	1	7.822744623	2.056999755
W9/10	W9	9	10	5.966493926	1.78610774
W9/2	W9	9	2	8.171576938	2.100494686
W9/3	W9	9	3	7.85004307	2.060465701
W9/4	W9	9	4	6.26309099	1.834446366
W9/5	W9	9	5	8.243539893	2.109414185
W9/6	W9	9	6	7.058197459	1.953981574
W9/7	W9	9	7	9.05111776	2.202877233
W9/8	W9	9	8	6.589103202	1.885416193
W9/9	W9	9	9	6.792237133	1.915732477
