Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	2.892691581	1.062186284
W1/10	W1	1	10	2.266298171	0.818066957
W1/2	W1	1	2	2.564937124	0.941609166
W1/3	W1	1	3	2.245579796	0.808716116
W1/4	W1	1	4	2.254501185	0.81292368
W1/5	W1	1	5	2.473872083	0.905134949
W1/6	W1	1	6	2.291395274	0.828643365
W1/7	W1	1	7	2.437013392	0.890609579
W1/8	W1	1	8	2.610710637	0.959257951
W1/9	W1	1	9	2.247391243	0.809754021
W12/1	W12	12	1	7.288742314	1.986288042
W12/10	W12	12	10	6.93610385	1.936724695
W12/2	W12	12	2	6.24058588	1.830343821
W12/3	W12	12	3	6.498460087	1.87156331
W12/4	W12	12	4	7.599813866	2.02805395
W12/5	W12	12	5	6.200373573	1.824324977
W12/6	W12	12	6	6.021331719	1.795248477
W12/7	W12	12	7	7.240491218	1.979648314
W12/8	W12	12	8	8.036659578	2.08400995
W12/9	W12	12	9	6.961829808	1.940442315
W15/1	W15	15	1	8.25139858	2.110001646
W15/10	W15	15	10	7.502338025	2.015205818
W15/2	W15	15	2	8.152076479	2.098268687
W15/3	W15	15	3	8.899544014	2.185793984
W15/4	W15	15	4	8.325844427	2.11931368
W15/5	W15	15	5	7.531700521	2.017899816
W15/6	W15	15	6	7.231191033	1.978201405
W15/7	W15	15	7	6.914335885	1.93342761
W15/8	W15	15	8	7.947981259	2.072887679
W15/9	W15	15	9	7.650995558	2.034775944
W2/1	W2	2	1	2.858247466	1.050022504
W2/10	W2	2	10	2.99963847	1.098455098
W2/2	W2	2	2	2.963868989	1.086474869
W2/3	W2	2	3	3.297834435	1.192958213
W2/4	W2	2	4	3.160074231	1.15058135
W2/5	W2	2	5	2.853668075	1.048575552
W2/6	W2	2	6	2.989084724	1.09488266
W2/7	W2	2	7	3.179288605	1.156511579
W2/8	W2	2	8	3.164247285	1.15187299
W2/9	W2	2	9	2.63150802	0.967410514
W3/1	W3	3	1	3.820468094	1.340369549
W3/10	W3	3	10	3.032381158	1.109221092
W3/2	W3	3	2	3.522767581	1.258934528
W3/3	W3	3	3	3.516223792	1.257353501
W3/4	W3	3	4	3.880300303	1.355909952
W3/5	W3	3	5	3.331599695	1.203288723
W3/6	W3	3	6	3.730173054	1.316249299
W3/7	W3	3	7	3.512601941	1.256193791
W3/8	W3	3	8	3.524546076	1.259660095
W3/9	W3	3	9	3.662248526	1.298058071
W4/1	W4	4	1	4.17530954	1.429075272
W4/10	W4	4	10	3.8610782	1.350907263
W4/2	W4	4	2	4.186456694	1.431819956
W4/3	W4	4	3	4.187397536	1.431986604
W4/4	W4	4	4	4.081481695	1.406449015
W4/5	W4	4	5	4.425367949	1.487349194
W4/6	W4	4	6	3.742281264	1.319687605
W4/7	W4	4	7	3.688261322	1.304786957
W4/8	W4	4	8	3.484372307	1.248240047
W4/9	W4	4	9	3.743316294	1.319959844
W5/1	W5	5	1	3.785209302	1.331026739
W5/10	W5	5	10	3.407225768	1.225513403
W5/2	W5	5	2	3.984297027	1.382204141
W5/3	W5	5	3	4.366589791	1.473953338
W5/4	W5	5	4	3.9927417	1.384476685
W5/5	W5	5	5	3.790699768	1.332007176
W5/6	W5	5	6	3.930917576	1.368665114
W5/7	W5	5	7	4.727704747	1.553437728
W5/8	W5	5	8	3.955210663	1.374734925
W5/9	W5	5	9	4.189395898	1.432554982
W7/1	W7	7	1	5.280935037	1.663951729
W7/10	W7	7	10	4.610515539	1.528153463
W7/2	W7	7	2	5.146167631	1.638249815
W7/3	W7	7	3	6.200983069	1.824683817
W7/4	W7	7	4	5.239388756	1.656136641
W7/5	W7	7	5	5.846004984	1.765633523
W7/6	W7	7	6	5.293423881	1.666464685
W7/7	W7	7	7	5.076498578	1.624581777
W7/8	W7	7	8	5.083359385	1.625520269
W7/9	W7	7	9	5.017771597	1.612916186
W9/1	W9	9	1	6.754819611	1.910098075
W9/10	W9	9	10	6.307441394	1.841689201
W9/2	W9	9	2	6.925404813	1.935190714
W9/3	W9	9	3	5.233666376	1.654861687
W9/4	W9	9	4	6.395393914	1.855231027
W9/5	W9	9	5	7.216617915	1.976386089
W9/6	W9	9	6	6.668438519	1.897379929
W9/7	W9	9	7	5.785911052	1.755361922
W9/8	W9	9	8	5.894948233	1.774075932
W9/9	W9	9	9	5.906435112	1.775947977
