Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	2.358289501	0.857701254
W1/10	W1	1	10	2.238359211	0.805700174
W1/2	W1	1	2	2.506521188	0.918823248
W1/3	W1	1	3	2.470744934	0.903998154
W1/4	W1	1	4	2.517103257	0.923083346
W1/5	W1	1	5	2.282350917	0.825200166
W1/6	W1	1	6	2.233967861	0.803717104
W1/7	W1	1	7	2.3329217	0.84712088
W1/8	W1	1	8	2.099335547	0.741027977
W1/9	W1	1	9	2.430793486	0.888211313
W12/1	W12	12	1	7.183189361	1.97172239
W12/10	W12	12	10	7.395105093	2.000818305
W12/2	W12	12	2	6.844744136	1.923471418
W12/3	W12	12	3	6.371977276	1.851780117
W12/4	W12	12	4	7.310006931	1.989224983
W12/5	W12	12	5	7.344457718	1.993922671
W12/6	W12	12	6	7.538856513	2.019960029
W12/7	W12	12	7	7.546774809	2.021099858
W12/8	W12	12	8	7.119062923	1.962772517
W12/9	W12	12	9	6.428712595	1.860769389
W17/1	W17	17	1	7.553440886	2.021958016
W17/10	W17	17	10	6.777296341	1.913561643
W17/2	W17	17	2	7.634456365	2.032671001
W17/3	W17	17	3	7.097465026	1.959640117
W17/4	W17	17	4	8.056778276	2.086321321
W17/5	W17	17	5	7.747652179	2.047389804
W17/6	W17	17	6	8.208650629	2.105151066
W17/7	W17	17	7	7.457872332	2.009127252
W17/8	W17	17	8	7.754894212	2.048299722
W17/9	W17	17	9	7.881476011	2.064400212
W2/1	W2	2	1	3.195510107	1.161618335
W2/10	W2	2	10	2.712456005	0.997778239
W2/2	W2	2	2	2.973734574	1.089815095
W2/3	W2	2	3	2.987853278	1.094549901
W2/4	W2	2	4	2.751066601	1.01191575
W2/5	W2	2	5	2.763536808	1.016504705
W2/6	W2	2	6	2.88427658	1.059217974
W2/7	W2	2	7	3.00259603	1.09947724
W2/8	W2	2	8	2.935807223	1.076905774
W2/9	W2	2	9	2.608834121	0.958733336
W3/1	W3	3	1	3.731236722	1.316739679
W3/10	W3	3	10	3.201144093	1.163448414
W3/2	W3	3	2	3.539847189	1.264033467
W3/3	W3	3	3	3.22009025	1.169378873
W3/4	W3	3	4	3.786987029	1.331539201
W3/5	W3	3	5	3.60692315	1.282744846
W3/6	W3	3	6	3.464632363	1.242580317
W3/7	W3	3	7	3.746509413	1.320823077
W3/8	W3	3	8	3.235406087	1.174154394
W3/9	W3	3	9	3.395700512	1.222497033
W4/1	W4	4	1	4.170367622	1.427971081
W4/10	W4	4	10	3.795008587	1.333472046
W4/2	W4	4	2	3.247475971	1.177855618
W4/3	W4	4	3	3.591449606	1.278552627
W4/4	W4	4	4	3.85955208	1.350504928
W4/5	W4	4	5	3.839614838	1.34525726
W4/6	W4	4	6	3.546995283	1.265938432
W4/7	W4	4	7	3.728624449	1.316031827
W4/8	W4	4	8	3.749645158	1.321655165
W4/9	W4	4	9	3.723704206	1.314605012
W5/1	W5	5	1	3.998467782	1.385900045
W5/10	W5	5	10	4.313928981	1.461846715
W5/2	W5	5	2	4.530194216	1.510584201
W5/3	W5	5	3	4.253896661	1.447786535
W5/4	W5	5	4	4.084085127	1.4070814
W5/5	W5	5	5	4.764408205	1.561008379
W5/6	W5	5	6	4.048232378	1.398271198
W5/7	W5	5	7	4.728238663	1.553491153
W5/8	W5	5	8	4.761043396	1.560447032
W5/9	W5	5	9	4.118169199	1.415063029
W7/1	W7	7	1	5.500082605	1.704711332
W7/10	W7	7	10	5.563906297	1.716227674
W7/2	W7	7	2	5.287552713	1.6653481
W7/3	W7	7	3	4.635901214	1.533826265
W7/4	W7	7	4	4.567561197	1.518976793
W7/5	W7	7	5	5.091714464	1.627452594
W7/6	W7	7	6	4.803438684	1.569164321
W7/7	W7	7	7	5.691780301	1.73894904
W7/8	W7	7	8	5.17440226	1.643711694
W7/9	W7	7	9	5.117228573	1.63242816
W9/1	W9	9	1	5.187003842	1.646155734
W9/10	W9	9	10	6.305917892	1.841487071
W9/2	W9	9	2	5.719385694	1.743807634
W9/3	W9	9	3	5.784053831	1.75510437
W9/4	W9	9	4	5.926558471	1.779443631
W9/5	W9	9	5	5.253306886	1.658828574
W9/6	W9	9	6	6.322594365	1.843998597
W9/7	W9	9	7	5.500910238	1.70465362
W9/8	W9	9	8	5.927379962	1.779540176
W9/9	W9	9	9	6.35164615	1.848710183
