Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	2.774017558	1.020288575
W1/2	W1	1	2	2.907842826	1.067060436
W1/3	W1	1	3	3.337967708	1.205240942
W1/4	W1	1	4	2.629686647	0.966804232
W1/5	W1	1	5	3.065311879	1.120114195
W1/6	W1	1	6	3.290983666	1.191174968
W1/7	W1	1	7	2.457478083	0.898945804
W1/8	W1	1	8	3.087374375	1.127271277
W1/9	W1	1	9	2.70493301	0.995018586
W12/1	W12	12	1	10.3317657	2.335214935
W12/2	W12	12	2	8.437060724	2.132521287
W12/3	W12	12	3	8.029604761	2.083128331
W12/4	W12	12	4	10.29371773	2.331496096
W12/5	W12	12	5	8.603706917	2.152187017
W12/6	W12	12	6	8.832449334	2.178256216
W12/7	W12	12	7	9.113010861	2.209702522
W12/8	W12	12	8	8.930675143	2.189334065
W12/9	W12	12	9	8.306237831	2.116590299
W15/1	W15	15	1	10.70073354	2.3702815
W15/2	W15	15	2	9.994023829	2.301966373
W15/3	W15	15	3	8.923542045	2.18849061
W15/4	W15	15	4	8.972483153	2.194133936
W15/5	W15	15	5	9.276680113	2.227443321
W15/6	W15	15	6	9.773124339	2.27963123
W15/7	W15	15	7	8.844563388	2.179686078
W15/8	W15	15	8	9.655505102	2.267076875
W15/9	W15	15	9	8.695538657	2.162795721
W2/1	W2	2	1	2.983511183	1.093085823
W2/2	W2	2	2	3.350942004	1.209227457
W2/3	W2	2	3	3.147761607	1.146633319
W2/4	W2	2	4	4.431128202	1.488654176
W2/5	W2	2	5	3.25664591	1.180640266
W2/6	W2	2	6	3.574403802	1.27370952
W2/7	W2	2	7	3.815299262	1.339019104
W2/8	W2	2	8	3.821535628	1.340506272
W2/9	W2	2	9	3.686505324	1.304676925
W3/1	W3	3	1	3.84648672	1.347111541
W3/2	W3	3	2	4.292072777	1.456725185
W3/3	W3	3	3	3.909541631	1.363389248
W3/4	W3	3	4	3.887216599	1.357637446
W3/5	W3	3	5	4.243086641	1.445236381
W3/6	W3	3	6	4.255801867	1.448282412
W3/7	W3	3	7	5.558642272	1.715317587
W3/8	W3	3	8	5.144562637	1.637900626
W3/9	W3	3	9	4.663455065	1.539732353
W4/1	W4	4	1	5.26268482	1.660515323
W4/2	W4	4	2	5.375075105	1.681761615
W4/3	W4	4	3	4.190737118	1.432851404
W4/4	W4	4	4	4.671483231	1.54140577
W4/5	W4	4	5	4.309388299	1.460792462
W4/6	W4	4	6	3.822447872	1.340840761
W4/7	W4	4	7	5.978357129	1.788133165
W4/8	W4	4	8	5.293710401	1.666502185
W4/9	W4	4	9	4.045428838	1.397560987
W5/1	W5	5	1	5.257791941	1.659684891
W5/2	W5	5	2	5.842730032	1.765181214
W5/3	W5	5	3	6.043134599	1.798922603
W5/4	W5	5	4	5.659660929	1.733359745
W5/5	W5	5	5	5.37881568	1.682440844
W5/6	W5	5	6	5.925357534	1.779240055
W5/7	W5	5	7	5.004468001	1.610261275
W5/8	W5	5	8	6.307059119	1.841667213
W5/9	W5	5	9	4.928594106	1.595044989
W7/1	W7	7	1	7.950461154	2.073228249
W7/2	W7	7	2	6.483924777	1.869262173
W7/3	W7	7	3	7.184282479	1.97188761
W7/4	W7	7	4	7.28839905	1.986281499
W7/5	W7	7	5	7.342218668	1.993641067
W7/6	W7	7	6	6.833784924	1.92186856
W7/7	W7	7	7	6.796691017	1.91633417
W7/8	W7	7	8	6.21594996	1.827042551
W7/9	W7	7	9	7.600426223	2.028184386
W9/1	W9	9	1	8.558531632	2.146928061
W9/2	W9	9	2	7.097145111	1.959535905
W9/3	W9	9	3	6.582165027	1.884345945
W9/4	W9	9	4	7.023406104	1.949122016
W9/5	W9	9	5	8.710350774	2.164501343
W9/6	W9	9	6	6.411953499	1.858163704
W9/7	W9	9	7	6.784943505	1.914691453
W9/8	W9	9	8	7.219278078	1.976652593
W9/9	W9	9	9	7.568111753	2.02372689
