Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	3.261438364	1.18203221
W1/10	W1	1	10	2.660446278	0.97839522
W1/2	W1	1	2	2.645751185	0.972834778
W1/3	W1	1	3	2.573741926	0.945307929
W1/4	W1	1	4	2.517073038	0.922513397
W1/5	W1	1	5	2.559293934	0.939388194
W1/7	W1	1	7	2.569463537	0.943680179
W1/8	W1	1	8	2.665759731	0.979478572
W1/9	W1	1	9	2.806838837	1.032003855
W12/1	W12	12	1	8.422461792	2.13089916
W12/10	W12	12	10	8.891490176	2.185079121
W12/2	W12	12	2	8.790853787	2.173699961
W12/3	W12	12	3	8.559156601	2.147000077
W12/4	W12	12	4	9.15786118	2.214540865
W12/5	W12	12	5	10.3990729	2.341649422
W12/7	W12	12	7	9.137657589	2.212400313
W12/8	W12	12	8	9.738220482	2.275997431
W12/9	W12	12	9	8.826288661	2.177691363
W17/1	W17	17	1	9.055319232	2.203311724
W17/10	W17	17	10	11.00812598	2.398629687
W17/2	W17	17	2	9.040164858	2.201672247
W17/3	W17	17	3	8.870578397	2.182662864
W17/4	W17	17	4	10.05318917	2.30788332
W17/5	W17	17	5	9.127397303	2.211263807
W17/7	W17	17	7	11.51326347	2.443293235
W17/8	W17	17	8	11.24487229	2.419886158
W17/9	W17	17	9	10.93156795	2.391627188
W2/1	W2	2	1	3.338872012	1.205526668
W2/10	W2	2	10	3.744393066	1.320139649
W2/2	W2	2	2	3.345451017	1.207461048
W2/3	W2	2	3	3.328005617	1.202269998
W2/4	W2	2	4	3.039183802	1.111498655
W2/5	W2	2	5	3.476933128	1.245421096
W2/7	W2	2	7	3.45686529	1.240291608
W2/8	W2	2	8	3.512761977	1.256337683
W2/9	W2	2	9	3.213474799	1.167075728
W3/1	W3	3	1	4.246758537	1.446107632
W3/10	W3	3	10	4.606542999	1.527365395
W3/2	W3	3	2	3.96629554	1.377786255
W3/3	W3	3	3	4.133350365	1.419088026
W3/4	W3	3	4	4.52421424	1.509443056
W3/5	W3	3	5	4.167404645	1.427282555
W3/7	W3	3	7	4.681514407	1.54359581
W3/8	W3	3	8	3.632343862	1.289875291
W3/9	W3	3	9	4.542851862	1.513468227
W4/1	W4	4	1	5.319848342	1.671361592
W4/10	W4	4	10	4.959557071	1.601265556
W4/2	W4	4	2	3.868676941	1.352908311
W4/3	W4	4	3	4.646241018	1.535979245
W4/4	W4	4	4	5.096026368	1.628445713
W4/5	W4	4	5	4.975177878	1.604456428
W4/7	W4	4	7	4.047833309	1.398148077
W4/8	W4	4	8	4.092908302	1.409178632
W4/9	W4	4	9	4.462993934	1.495690423
W5/1	W5	5	1	4.748041676	1.557728311
W5/10	W5	5	10	4.965492089	1.602224501
W5/2	W5	5	2	6.305264669	1.841260357
W5/3	W5	5	3	6.626999422	1.891079181
W5/4	W5	5	4	6.363757294	1.850617504
W5/5	W5	5	5	5.322733496	1.671934029
W5/7	W5	5	7	5.974155998	1.787422341
W5/8	W5	5	8	3.609479183	1.283489188
W5/9	W5	5	9	6.349373661	1.848312097
W7/1	W7	7	1	6.075921416	1.804303742
W7/10	W7	7	10	6.720710888	1.905192746
W7/2	W7	7	2	6.423865567	1.860017889
W7/3	W7	7	3	6.838555789	1.922524792
W7/4	W7	7	4	6.772462183	1.91284517
W7/5	W7	7	5	5.985827789	1.789095395
W7/7	W7	7	7	6.521205646	1.875051174
W7/8	W7	7	8	7.019760259	1.948709406
W7/9	W7	7	9	6.797968472	1.916620145
W9/1	W9	9	1	8.806000127	2.175430083
W9/10	W9	9	10	7.162483929	1.968848006
W9/2	W9	9	2	5.987970505	1.789751085
W9/3	W9	9	3	7.509453473	2.016161499
W9/4	W9	9	4	7.434261772	2.006073163
W9/5	W9	9	5	6.938507451	1.937078927
W9/7	W9	9	7	7.726942307	2.044712401
W9/8	W9	9	8	8.324431957	2.119188004
W9/9	W9	9	9	6.578237447	1.883663882
