Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W12/1	W12	12	1	7.218436741	1.976626093
W12/10	W12	12	10	7.613810219	2.029816079
W12/2	W12	12	2	10.02393944	2.30497572
W12/3	W12	12	3	8.043965641	2.084900723
W12/4	W12	12	4	9.837507792	2.28620102
W12/5	W12	12	5	7.860998024	2.061862168
W12/6	W12	12	6	8.538088522	2.144473074
W12/7	W12	12	7	10.39040232	2.340871898
W12/8	W12	12	8	8.977660961	2.194727278
W12/9	W12	12	9	8.18992164	2.10290421
W17/1	W17	17	1	11.20345815	2.416220223
W17/10	W17	17	10	10.15172287	2.317389799
W17/2	W17	17	2	9.95675713	2.298191463
W17/3	W17	17	3	10.16720354	2.319058522
W17/4	W17	17	4	10.25386496	2.327643544
W17/5	W17	17	5	8.869822981	2.182652346
W17/6	W17	17	6	9.622230227	2.263965344
W17/7	W17	17	7	10.43600194	2.345228084
W17/8	W17	17	8	9.862450561	2.288646377
W17/9	W17	17	9	9.735439691	2.275772781
W2/1	W2	2	1	3.248736601	1.178264978
W2/10	W2	2	10	2.811480153	1.033691995
W2/2	W2	2	2	3.47192571	1.244691819
W2/3	W2	2	3	3.004399407	1.100051722
W2/4	W2	2	4	3.262921367	1.182463553
W2/5	W2	2	5	3.427263823	1.231758518
W2/6	W2	2	6	3.122263832	1.138532537
W2/7	W2	2	7	2.966307794	1.08731546
W2/8	W2	2	8	2.994291682	1.096705057
W2/9	W2	2	9	2.882412551	1.058593809
W3/1	W3	3	1	4.169262419	1.427542534
W3/10	W3	3	10	3.508186408	1.255064846
W3/2	W3	3	2	3.488154761	1.249362056
W3/3	W3	3	3	4.425951765	1.487425938
W3/4	W3	3	4	3.595559204	1.279664898
W3/5	W3	3	5	3.907854847	1.362988511
W3/6	W3	3	6	4.137570129	1.420102734
W3/7	W3	3	7	3.414658287	1.22805522
W3/8	W3	3	8	3.394288452	1.222085172
W3/9	W3	3	9	3.860118284	1.350686991
W4/1	W4	4	1	4.367219221	1.474069074
W4/10	W4	4	10	4.005296781	1.387608523
W4/2	W4	4	2	4.052224115	1.399250137
W4/3	W4	4	3	3.960808506	1.376425692
W4/4	W4	4	4	3.84152406	1.345762032
W4/5	W4	4	5	4.435424692	1.489608501
W4/6	W4	4	6	3.520717986	1.258624019
W4/7	W4	4	7	4.251980146	1.447243634
W4/8	W4	4	8	4.827496389	1.574327935
W4/9	W4	4	9	4.051749316	1.399144
W5/1	W5	5	1	4.935968188	1.596545168
W5/10	W5	5	10	4.540467047	1.512975309
W5/2	W5	5	2	3.614652323	1.284905986
W5/3	W5	5	3	4.895561126	1.588328054
W5/4	W5	5	4	4.068907651	1.403374573
W5/5	W5	5	5	4.759631056	1.560147407
W5/6	W5	5	6	5.271214919	1.662175511
W5/7	W5	5	7	4.523859076	1.509347165
W5/8	W5	5	8	4.772894214	1.56289332
W5/9	W5	5	9	3.804315997	1.336123301
W7/1	W7	7	1	6.598135178	1.886614969
W7/10	W7	7	10	6.136547013	1.814141691
W7/2	W7	7	2	5.079464794	1.625193386
W7/3	W7	7	3	6.926815421	1.935305559
W7/4	W7	7	4	6.188021883	1.822611435
W7/5	W7	7	5	5.35368067	1.677708049
W7/6	W7	7	6	5.127020453	1.634512206
W7/7	W7	7	7	5.615609527	1.725405904
W7/8	W7	7	8	6.248017685	1.83226424
W7/9	W7	7	9	5.881659243	1.771836989
W9/1	W9	9	1	7.087274134	1.958293772
W9/10	W9	9	10	7.119014068	1.962721719
W9/2	W9	9	2	7.769037944	2.050145153
W9/3	W9	9	3	7.895373284	2.066256149
W9/4	W9	9	4	8.136299104	2.096304031
W9/5	W9	9	5	6.584072305	1.884651417
W9/6	W9	9	6	6.364728705	1.850752413
W9/7	W9	9	7	8.672004122	2.160098398
W9/8	W9	9	8	6.869256127	1.927053351
W9/9	W9	9	9	7.517633816	2.017205863
