Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Boiken	2	1	2.665	2.561	0.96097561	9.17
Boiken	2	2	2.646	2.678	1.012093726	8.43
Boiken	2	3	2.52	2.597	1.030555556	8.38
Boiken	2	4	2.74	2.468	0.900729927	8.34
Boiken	2	5	2.254	2.329	1.033274179	5.28
Boiken	2	6	2.189	2.117	0.967108269	4.97
Boiken	2	7	2.535	2.189	0.863510848	6.81
Boiken	2	8	2.409	2.556	1.061021171	6.55
Boiken	2	9	2.492	2.548	1.02247191	7.32
Boiken	2	10	2.442	2.447	1.002047502	6.3
Boiken	3	1	2.679	2.568	0.958566629	9.42
Boiken	3	2	2.668	2.609	0.977886057	9.56
Boiken	3	3	2.852	2.924	1.025245442	12.04
Boiken	3	4	3.134	2.783	0.888002553	10.95
Boiken	3	5	3.15	2.968	0.942222222	12.06
Boiken	3	6	3.639	3.547	0.974718329	21.82
Boiken	3	7	2.445	2.245	0.918200409	6.26
Boiken	3	8	2.647	2.536	0.958065735	8.33
Boiken	3	9	3.167	2.651	0.837069782	11.38
Boiken	3	10	2.79	2.677	0.959498208	8.57
Boiken	4	1	3.228	3.15	0.975836431	15.27
Boiken	4	2	3.512	3.087	0.878986333	16.94
Boiken	4	3	3.669	3.355	0.914418098	21.51
Boiken	4	4	3.827	3.261	0.852103475	20.07
Boiken	4	5	3.937	3.653	0.927863856	24.04
Boiken	4	6	3.102	3.228	1.040618956	14.91
Boiken	4	7	3.701	3.622	0.978654418	21.49
Boiken	4	8	2.898	2.977	1.027260179	12.7
Boiken	4	9	3.323	3.087	0.928979837	14.48
Boiken	4	10	3.449	3.102	0.899391128	15.77
Boiken	5	1	4.315	3.969	0.9198146	30.96
Boiken	5	2	3.717	3.386	0.910949691	19.88
Boiken	5	3	3.56	3.371	0.946910112	20.3
Boiken	5	4	3.735	3.267	0.874698795	20.6
Boiken	5	5	4.71	3.625	0.769639066	31.82
Boiken	5	6	3.578	3.308	0.924538849	19.3
Boiken	5	7	4.883	3.654	0.748310465	23.89
Boiken	5	8	3.953	4.346	1.099418163	38.68
Boiken	5	9	4.174	3.606	0.863919502	23.95
Boiken	5	10	4.274	3.829	0.895882078	29.35
Boiken	7	1	5.543	5.029	0.907270431	62.24
Boiken	7	2	4.992	4.378	0.877003205	42.99
Boiken	7	3	5.134	3.875	0.754772108	45.49
Boiken	7	4	5.732	4.217	0.735694348	47.52
Boiken	7	5	5.024	4.398	0.875398089	46.62
Boiken	7	6	4.93	4.24	0.860040568	44.82
Boiken	7	7	5.464	4.585	0.839128843	59.06
Boiken	7	8	4.535	3.917	0.863726571	35.93
Boiken	7	9	5.403	4.74	0.877290394	55.8
Boiken	7	10	5.118	4.479	0.875146542	49.13
Boiken	9	1	6.254	5.458	0.872721458	78.46
Boiken	9	2	5.844	4.883	0.835557837	64.38
Boiken	9	3	6.741	5.83	0.864856846	108.76
Boiken	9	4	6.552	5.39	0.822649573	88.08
Boiken	9	5	7.197	6.534	0.907878283	126.51
Boiken	9	6	6.299	4.397	0.698047309	72.36
Boiken	9	7	5.716	4.428	0.7746676	57.61
Boiken	9	8	5.938	4.885	0.822667565	67.41
Boiken	9	9	6.158	5.003	0.812439104	67.8
Boiken	9	10	5.716	4.753	0.831525542	61.92
Boiken	12	1	7.719	6.859	0.888586604	137.08
Boiken	12	2	6.576	5.542	0.842761557	96.92
Boiken	12	3	7.023	5.759	0.820019935	104.17
Boiken	12	4	8.064	7.031	0.871899802	147.32
Boiken	12	5	7.121	5.654	0.793989608	104.67
Boiken	12	6	8.115	6.3	0.776340111	145.44
Boiken	12	7	7.056	6.651	0.942602041	115.39
Boiken	12	8	6.898	5.861	0.84966657	100.84
Boiken	12	9	7.027	5.49	0.781272236	95.77
Boiken	12	10	7.764	6.811	0.877253993	138.09
Boiken	17	1	8.859	8.167	0.921887346	198.84
Boiken	17	2	8.396	7.049	0.83956646	171.84
Boiken	17	3	8.52	6.477	0.760211268	166.47
Boiken	17	4	9.779	8.388	0.857756417	250.38
Boiken	17	5	8.424	7.238	0.859211776	173.58
Boiken	17	6	8.607	7.581	0.880794702	199.93
Boiken	17	7	7.796	6.092	0.781426372	126.18
Boiken	17	8	8.58	7.55	0.87995338	178.32
Boiken	17	9	9.075	7.329	0.807603306	181.24
Boiken	17	10	8.545	6.684	0.78221182	164.52
Boiken	17	11	9.412	7.912	0.840628984	209.84
Boiken	17	12	8.008	6.929	0.86525974	153.7
Boiken	17	13	8.579	6.945	0.809534911	167.31
Boiken	17	14	8.613	6.395	0.742482294	167.47
Boiken	17	15	9.358	8.384	0.895917931	233.1
Boiken	17	16	9.138	6.651	0.72783979	189.03
Boiken	17	17	8.835	7.509	0.84991511	201.66
Boiken	17	18	8.583	7.119	0.829430269	173.44
Boiken	17	19	8.755	7.012	0.800913764	176.05
Boiken	17	20	9.371	7.185	0.766727137	206.42
