Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Bovarde	2	1	2.27	2.159	0.951101322	5.32
Bovarde	2	2	2.567	2.454	0.955979743	7.84
Bovarde	2	3	2.63	2.662	1.0121673	8.79
Bovarde	2	4	2.395	2.347	0.979958246	7.13
Bovarde	2	5	2.583	2.362	0.914440573	8.28
Bovarde	2	6	2.475	2.557	1.033131313	7.13
Bovarde	2	7	2.646	2.746	1.037792895	8.65
Bovarde	2	8	2.665	2.409	0.903939962	7.93
Bovarde	2	9	2.588	2.626	1.014683153	8.11
Bovarde	2	10	2.22	2.247	1.012162162	5.46
Bovarde	3	1	3.15	2.789	0.885396825	12.72
Bovarde	3	2	3.009	2.99	0.99368561	11.47
Bovarde	3	3	3.04	3.026	0.995394737	11.76
Bovarde	3	4	2.944	2.978	1.011548913	17.47
Bovarde	3	5	3.425	3.671	1.071824818	15.14
Bovarde	3	6	3.097	3.055	0.986438489	13.1
Bovarde	3	7	3.078	2.913	0.946393762	18.09
Bovarde	3	8	2.646	2.866	1.083144369	9.81
Bovarde	3	9	3.197	2.978	0.93149828	13.58
Bovarde	4	1	3.528	3.717	1.053571429	18.1
Bovarde	4	2	3.671	3.528	0.961046037	19.24
Bovarde	4	3	3.779	3.674	0.972214872	23.91
Bovarde	4	4	3.182	2.71	0.851665619	11.43
Bovarde	4	5	3.308	3.219	0.973095526	13.61
Bovarde	4	6	3.56	3.725	1.046348315	19.73
Bovarde	4	7	2.488	2.394	0.96221865	6.79
Bovarde	4	8	3.688	3.65	0.989696312	20.16
Bovarde	4	9	3.859	3.739	0.968903861	21.05
Bovarde	4	10	3.134	3.103	0.990108488	14.09
Bovarde	5	1	3.874	3.906	1.008260196	26.27
Bovarde	5	2	4.031	3.968	0.984371124	27.99
Bovarde	5	3	4.252	4.063	0.955550329	31.16
Bovarde	5	4	3.953	3.829	0.968631419	26.41
Bovarde	5	5	4.065	4.148	1.020418204	29.64
Bovarde	5	6	4.268	4.614	1.081068416	36.38
Bovarde	5	7	3.829	3.827	0.99947767	26
Bovarde	5	8	3.968	3.638	0.916834677	23.18
Bovarde	5	9	4.283	4.27	0.996964744	34.71
Bovarde	5	10	4.457	4.095	0.918779448	34.88
Bovarde	7	1	4.85	4.835	0.996907216	48.69
Bovarde	7	2	4.709	4.54	0.964111276	39.86
Bovarde	7	3	4.96	5.307	1.069959677	55.67
Bovarde	7	4	5.48	4.882	0.890875912	62.52
Bovarde	7	5	5.149	5.076	0.98582249	54.19
Bovarde	7	6	5.496	5.19	0.944323144	60.39
Bovarde	7	7	4.74	4.576	0.965400844	44.44
Bovarde	7	8	5.449	4.992	0.9161314	61.14
Bovarde	7	9	3.984	4.079	1.023845382	27.48
Bovarde	7	10	5.291	4.82	0.910980911	61.26
Bovarde	9	1	5.776	5.466	0.94632964	76.1
Bovarde	9	2	6.2	5.419	0.874032258	82.53
Bovarde	9	3	5.549	5.193	0.935844296	57.79
Bovarde	9	4	5.251	4.91	0.935059989	50.98
Bovarde	9	5	5.688	5.461	0.960091421	74.14
Bovarde	9	6	5.104	4.782	0.936912226	49.09
Bovarde	9	7	6.221	6.32	1.01591384	87.28
Bovarde	9	8	5.291	5.254	0.993006993	56.93
Bovarde	9	9	5.809	5.548	0.955069719	70.07
Bovarde	9	10	6.517	6.016	0.923124137	89.68
Bovarde	12	1	7.333	7.376	1.005863903	134.9
Bovarde	12	2	6.857	6.616	0.964853434	110.12
Bovarde	12	3	6.325	5.703	0.901660079	80.82
Bovarde	12	4	6.574	6.043	0.919227259	104.38
Bovarde	12	5	6.409	6.179	0.964112966	101.94
Bovarde	12	6	6.591	6.45	0.978607192	108.87
Bovarde	12	7	6.622	5.686	0.858652975	102.87
Bovarde	12	8	6.732	6.66	0.989304813	110.46
Bovarde	12	9	6.566	6.055	0.92217484	99.54
Bovarde	12	10	6.804	6.196	0.9106408	106.5
Bovarde	17	1	7.034	6.389	0.908302531	148.14
Bovarde	17	2	7.865	6.98	0.88747616	122.22
Bovarde	17	3	8.645	7.708	0.89161365	160.77
Bovarde	17	4	7.663	6.86	0.895210753	149.85
Bovarde	17	5	9.12	8.258	0.905482456	210.45
Bovarde	17	6	8.633	7.608	0.881269547	169.51
Bovarde	17	7	8.829	8.016	0.907917091	221.19
Bovarde	17	8	7.422	6.929	0.933575856	144.41
Bovarde	17	9	7.949	6.99	0.879355894	147.2
Bovarde	17	10	8.411	8.717	1.03638093	193.94
Bovarde	17	11	7.206	7.208	1.000277546	125.76
Bovarde	17	12	8.322	8.613	1.034967556	178.93
Bovarde	17	13	8.178	7.199	0.880288579	149.84
Bovarde	17	14	9.059	8.667	0.956728116	224.65
Bovarde	17	15	8.806	7.948	0.902566432	196.94
Bovarde	17	16	7.9	8.38	1.060759494	166.12
Bovarde	17	17	7.944	6.782	0.853726083	143.29
Bovarde	17	18	8.469	7.524	0.888416578	174.69
Bovarde	17	19	9.759	8.419	0.862690849	229.23
Bovarde	17	20	8.691	8.282	0.952939823	193.81
