Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Fuji	2	1	1.76	2.288	1.3	2.94
Fuji	2	2	1.663	2.145	1.289837643	2.96
Fuji	2	3	1.782	2.338	1.312008979	3.68
Fuji	2	4	2.001	2.494	1.246376812	4.69
Fuji	2	5	1.638	2.094	1.278388278	2.53
Fuji	2	6	1.655	2.111	1.275528701	3.03
Fuji	2	7	2.047	2.333	1.139716659	4.2
Fuji	2	8	1.799	2.271	1.262367982	3.16
Fuji	2	9	1.624	2.067	1.272783251	2.8
Fuji	2	10	1.64	1.938	1.181707317	2.67
Fuji	3	1	2.39	2.696	1.128033473	6.94
Fuji	3	2	2.757	2.662	0.965542256	8.66
Fuji	3	3	2.552	3.041	1.19161442	8.53
Fuji	3	4	2.584	2.938	1.136996904	5.68
Fuji	3	5	2.192	2.709	1.235857664	7.45
Fuji	3	6	2.49	2.913	1.169879518	7.65
Fuji	3	7	2.608	2.839	1.08857362	7.26
Fuji	3	8	2.502	2.898	1.158273381	5.4
Fuji	3	9	2.333	2.694	1.154736391	6.62
Fuji	4	1	2.866	3.357	1.171318911	11.52
Fuji	4	2	2.961	3.387	1.143870314	11.55
Fuji	4	3	2.647	3.651	1.379297318	8.83
Fuji	4	4	3.672	4.159	1.132625272	21.27
Fuji	4	5	2.772	3.15	1.136363636	9.87
Fuji	4	6	2.504	2.869	1.145766773	7.69
Fuji	4	7	2.488	2.968	1.192926045	7.79
Fuji	4	8	2.709	3.276	1.209302326	10.75
Fuji	4	9	2.315	2.567	1.108855292	6.17
Fuji	4	10	3.213	3.587	1.116402116	15.8
Fuji	5	1	3.213	3.748	1.166511049	16.07
Fuji	5	2	3.623	4.111	1.134695004	22.67
Fuji	5	3	3.134	3.47	1.107211232	16.52
Fuji	5	4	3.165	3.697	1.168088468	14.92
Fuji	5	5	2.73	2.821	1.033333333	9.33
Fuji	5	6	4.082	4.315	1.057079863	30.16
Fuji	5	7	3.058	3.165	1.03499019	13.36
Fuji	5	8	3.64	3.875	1.06456044	21.92
Fuji	5	9	3.26	3.486	1.069325153	16.35
Fuji	5	10	3.48	3.766	1.082183908	21.81
Fuji	7	1	3.905	4.033	1.032778489	28.48
Fuji	7	2	3.779	3.798	1.005027785	26.24
Fuji	7	3	3.417	3.831	1.121158911	20.2
Fuji	7	4	4.665	5.012	1.074383708	45.83
Fuji	7	5	3.654	3.622	0.991242474	20
Fuji	7	6	4.457	4.68	1.050033655	34.29
Fuji	7	7	4.315	4.22	0.977983778	36.04
Fuji	7	8	4.394	4.647	1.057578516	40.6
Fuji	7	9	3.811	3.262	0.855943322	20.35
Fuji	7	10	3.417	3.399	0.994732221	18.96
Fuji	9	1	5.134	5.142	1.001558239	55.35
Fuji	9	2	5.254	5.297	1.008184241	58.54
Fuji	9	3	4.942	5.354	1.083367058	52.32
Fuji	9	4	4.149	4.005	0.965292842	29.78
Fuji	9	5	5.607	5.851	1.043517032	64.18
Fuji	9	6	4.993	4.731	0.947526537	47.65
Fuji	9	7	5.956	5.846	0.981531229	79.95
Fuji	9	8	4.22	4.383	1.038625592	34.99
Fuji	9	9	4.648	4.718	1.015060241	39.61
Fuji	9	10	4.354	3.793	0.871152963	32.36
Fuji	12	1	5.814	5.467	0.940316477	81.4
Fuji	12	2	6.598	5.931	0.89890876	106.03
Fuji	12	3	5.652	5.854	1.035739561	82.95
Fuji	12	4	6.183	6.193	1.001617338	90.57
Fuji	12	5	5.386	4.599	0.853880431	51.34
Fuji	12	6	5.471	5.459	0.997806617	61.08
Fuji	12	7	6.713	5.831	0.868613139	105.1
Fuji	12	8	6.639	6.417	0.966561229	103.92
Fuji	12	9	5.557	5.414	0.974266691	69.67
Fuji	12	10	4.945	4.823	0.975328615	64.1
Fuji	17	1	6.524	6.494	0.995401594	101.1
Fuji	17	2	6.893	7.574	1.09879588	123.53
Fuji	17	3	8.102	6.938	0.85633177	159.59
Fuji	17	4	7.014	7.108	1.013401768	115.59
Fuji	17	5	7.485	6.85	0.915163661	135.76
Fuji	17	6	7.085	6.468	0.912914608	112.87
Fuji	17	7	7.448	6.564	0.881310419	122.56
Fuji	17	8	7.882	7.586	0.96244608	147.2
Fuji	17	9	7.526	7.331	0.974089822	138.23
Fuji	17	10	7.431	6.569	0.883999462	130.07
Fuji	17	11	7.174	6.398	0.891831614	117.36
Fuji	17	12	6.931	7.01	1.011398067	128.57
Fuji	17	13	6.191	6.426	1.037958327	91.84
Fuji	17	14	7.176	6.76	0.942028986	127.19
Fuji	17	15	7.604	7.113	0.935428722	146.39
Fuji	17	16	6.865	6.506	0.947705754	105.94
Fuji	17	17	7.634	7.864	1.030128373	147.34
Fuji	17	18	7.588	6.539	0.861755403	130.41
Fuji	17	19	7.484	7.083	0.946419027	126.4
Fuji	17	20	7.206	7.197	0.998751041	128.79
