Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Kaiser	2	1	2.174	1.889	0.868905244	4.75
Kaiser	2	2	2.443	1.976	0.808841588	4.73
Kaiser	2	3	2.493	2.169	0.870036101	6.11
Kaiser	2	4	2.536	1.909	0.752760252	5.94
Kaiser	2	5	2.238	1.842	0.8230563	4.31
Kaiser	2	6	2.579	2	0.775494378	5.24
Kaiser	2	7	2.299	2.11	0.917790344	5.74
Kaiser	2	8	2.475	2.096	0.846868687	5.55
Kaiser	2	9	1.801	1.686	0.936146585	2.89
Kaiser	2	10	2.362	1.819	0.770110076	5.17
Kaiser	3	1	2.774	2.552	0.919971161	8.77
Kaiser	3	2	2.63	2.048	0.778707224	7.64
Kaiser	3	3	3.003	2.385	0.794205794	8.7
Kaiser	3	4	3.021	2.523	0.835153923	9.95
Kaiser	3	5	2.705	1.937	0.716081331	7.35
Kaiser	3	6	3.181	2.255	0.708896573	10.5
Kaiser	3	7	2.963	2.208	0.745190685	8.77
Kaiser	3	8	2.913	2.286	0.784757981	8.77
Kaiser	3	9	2.742	2.144	0.781911014	8.4
Kaiser	3	10	2.478	2.098	0.846650525	5.89
Kaiser	4	1	3.339	2.851	0.853848458	13.06
Kaiser	4	2	3.544	2.835	0.799943567	13.46
Kaiser	4	3	3.182	2.82	0.886235072	12.07
Kaiser	4	4	3.26	2.677	0.821165644	13.14
Kaiser	4	5	3.386	3.008	0.888363851	14.72
Kaiser	4	6	3.231	2.394	0.740947075	10.49
Kaiser	4	7	3.291	2.598	0.789425706	10.79
Kaiser	4	8	3.118	2.206	0.707504811	9.13
Kaiser	4	9	2.866	2.756	0.961618981	9.37
Kaiser	4	10	3.215	2.52	0.783825816	11.44
Kaiser	5	1	3.307	2.504	0.757181736	11.93
Kaiser	5	2	3.388	2.551	0.752951594	13.62
Kaiser	5	3	3.418	3.024	0.884727911	14.78
Kaiser	5	4	3.15	2.599	0.825079365	12.61
Kaiser	5	5	3.212	2.695	0.839041096	10.61
Kaiser	5	6	3.277	2.568	0.783643576	12.74
Kaiser	5	7	3.559	3.276	0.920483282	17.69
Kaiser	5	8	3.402	2.649	0.778659612	12.92
Kaiser	5	9	3.788	2.71	0.715417107	15.14
Kaiser	5	10	2.803	2.236	0.797716732	8.02
Kaiser	7	1	4.095	3.36	0.820512821	25.43
Kaiser	7	2	4.134	3.621	0.875907112	25.21
Kaiser	7	3	4.234	4.079	0.963391592	32.46
Kaiser	7	4	4.409	3.106	0.704468133	26.96
Kaiser	7	5	4.236	3.802	0.897544854	30.47
Kaiser	7	6	4.426	3.182	0.718933574	25.47
Kaiser	7	7	4.229	2.949	0.697327974	22.9
Kaiser	7	8	4.303	3.494	0.811991634	25.71
Kaiser	7	9	4.081	3.165	0.77554521	23.45
Kaiser	7	10	4	2.914	0.7285	19.6
Kaiser	9	1	5.079	4.101	0.80744241	45.03
Kaiser	9	2	4.757	4.35	0.914441875	42.76
Kaiser	9	3	4.408	3.315	0.752041742	28.55
Kaiser	9	4	4.898	4.09	0.835034708	43.29
Kaiser	9	5	4.917	4.599	0.935326419	45.59
Kaiser	9	6	4.65	4.435	0.953763441	37.48
Kaiser	9	7	4.792	3.596	0.750417362	33.92
Kaiser	9	8	4.599	3.637	0.790824092	32.69
Kaiser	9	9	4.846	3.556	0.733801073	35.81
Kaiser	9	10	4.789	4.154	0.867404469	42.3
Kaiser	12	1	5.811	4.384	0.754431251	62.54
Kaiser	12	2	5.494	4.284	0.779759738	44.3
Kaiser	12	3	5.45	4.028	0.739082569	47.17
Kaiser	12	4	6.316	4.996	0.791006966	73.61
Kaiser	12	5	5.314	3.441	0.647534814	44.75
Kaiser	12	6	5.347	3.765	0.704133159	38.84
Kaiser	12	7	5.377	3.84	0.714152873	51.62
Kaiser	12	8	6.191	5.067	0.818446131	73.06
Kaiser	12	9	5.347	4.175	0.78081167	49.28
Kaiser	12	10	5.497	4.182	0.760778607	51.33
Kaiser	15	1	6.48	5.158	0.795987654	80.55
Kaiser	15	2	6.263	5.284	0.843685135	71.73
Kaiser	15	3	6.755	5.676	0.840266469	86.91
Kaiser	15	4	6.662	5.173	0.776493545	82.42
Kaiser	15	5	6.301	4.67	0.741152198	69.03
Kaiser	15	6	6.135	3.989	0.650203749	62.25
Kaiser	15	7	6.083	3.811	0.626500082	60.1
Kaiser	15	8	6.712	4.664	0.694874851	83.34
Kaiser	15	9	6.458	4.454	0.68968721	71.58
Kaiser	15	10	6.463	4.287	0.66331425	68.45
Kaiser	15	11	6.301	4.763	0.75591176	73.61
Kaiser	15	12	6.184	5.483	0.88664295	74.65
Kaiser	15	13	6.087	4.735	0.777887301	71.7
Kaiser	15	14	5.867	5.103	0.869780126	74.9
Kaiser	15	15	5.235	3.674	0.701814709	47.31
Kaiser	15	16	6.392	3.987	0.623748436	63.78
Kaiser	15	17	6.06	4.363	0.719966997	66.55
Kaiser	15	18	5.414	3.589	0.662910972	44.57
Kaiser	15	19	5.5	4.812	0.874909091	59.26
Kaiser	15	20	6.165	4.261	0.691159773	63.84
