Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Present	2	1	1.575	1.939	1.231111111	2.35
Present	2	2	1.796	2.276	1.267260579	3.18
Present	2	3	1.985	2.161	1.088664987	3.28
Present	2	4	1.622	2.97	1.83107275	4.51
Present	2	5	1.53	2.189	1.430718954	2.85
Present	2	6	1.483	2.537	1.71072151	2.75
Present	2	7	1.748	2.662	1.522883295	3.06
Present	2	8	1.534	2.694	1.75619296	3.76
Present	2	9	1.624	2.578	1.587438424	2.69
Present	3	1	2.17	2.787	1.284331797	5.28
Present	3	2	2.265	2.823	1.246357616	7.11
Present	3	3	2.336	3.13	1.33989726	6.55
Present	3	4	2.264	2.788	1.231448763	5.57
Present	3	5	2.724	2.646	0.971365639	6.39
Present	3	6	2.463	2.778	1.127892814	7.41
Present	3	7	2.286	2.797	1.223534558	10.06
Present	3	8	2.161	3.715	1.719111522	8.37
Present	3	9	2.249	3.496	1.554468653	6.9
Present	4	1	2.866	3.811	1.329727844	13.81
Present	4	2	2.331	3.921	1.682110682	8.7
Present	4	3	2.504	3.118	1.245207668	7.74
Present	4	4	2.772	3.326	1.1998557	10.29
Present	4	5	2.347	3.182	1.355773328	7.66
Present	4	6	2.378	2.772	1.16568545	6.67
Present	4	7	2.789	4.165	1.493366798	12.39
Present	4	8	2.63	3.751	1.426235741	8.97
Present	4	9	2.21	2.623	1.186877828	6.66
Present	4	10	2.724	3.37	1.237151248	11.18
Present	5	1	3.181	3.543	1.113800692	14.41
Present	5	2	3.685	3.922	1.06431479	18.78
Present	5	3	3.276	4	1.221001221	18.14
Present	5	4	3.008	3.941	1.310172872	13.63
Present	5	5	2.903	3.739	1.287977954	14.75
Present	5	6	2.335	4.182	1.791006424	11.83
Present	5	7	3.103	3.59	1.156944892	13.77
Present	5	8	3.055	4.341	1.420949264	13.74
Present	5	9	2.992	3.288	1.098930481	13.79
Present	5	10	3.15	3.671	1.165396825	15.09
Present	7	1	3.402	5.485	1.61228689	25.19
Present	7	2	3.37	4.447	1.31958457	22.89
Present	7	3	3.972	5.058	1.273413897	28.64
Present	7	4	3.738	4.96	1.326912788	25
Present	7	5	3.466	4.976	1.435660704	24.38
Present	7	6	3.543	4.641	1.309906859	23.53
Present	7	7	3.368	5.042	1.497030879	23.16
Present	7	8	3.907	4.118	1.054005631	23.98
Present	7	9	3.331	5.315	1.595616932	21.6
Present	7	10	3.407	4.473	1.312885236	20.8
Present	9	1	4.238	5.824	1.374233129	36.46
Present	9	2	3.094	4.643	1.500646412	20.05
Present	9	3	3.95	4.315	1.092405063	28.02
Present	9	4	4.666	4.75	1.018002572	37.29
Present	9	5	4.505	6.063	1.345837958	42.36
Present	9	6	3.735	4.423	1.184203481	24.86
Present	9	7	3.67	4.65	1.267029973	24.96
Present	9	8	4.537	5.016	1.105576372	37.29
Present	9	9	3.941	5.334	1.353463588	34.06
Present	9	10	4.659	5.425	1.164412964	40.17
Present	12	1	5.103	6.942	1.360376249	59.36
Present	12	2	5.269	5.631	1.068703739	51.63
Present	12	3	5.057	5.575	1.102432272	49.23
Present	12	4	5.12	6.899	1.347460938	58.21
Present	12	5	5.258	5.626	1.069988589	54.82
Present	12	6	4.649	6.147	1.322219832	42.69
Present	12	7	4.272	6.363	1.489466292	38.71
Present	12	8	5.523	5.989	1.084374434	64.61
Present	12	9	5.156	5.779	1.120830101	50.2
Present	12	10	4.379	6.048	1.381137246	43.96
Present	15	1	6.021	6.976	1.158611526	83.6
Present	15	2	5.021	6.739	1.342162916	57.75
Present	15	3	5.827	5.938	1.019049253	69.02
Present	15	4	5.364	6.359	1.185495899	62.96
Present	15	5	5.45	6.268	1.150091743	64.11
Present	15	6	5.937	6.499	1.094660603	78.04
Present	15	7	5.062	5.816	1.148952983	60.08
Present	15	8	5.607	6.699	1.194756554	79.28
Present	15	9	5.735	5.626	0.980993897	73.27
Present	15	10	5.858	6.917	1.180778423	80.62
Present	15	11	5.008	5.945	1.187100639	49.87
Present	15	12	5.512	5.749	1.042997097	67.7
Present	15	13	5.284	7.354	1.391748675	72.16
Present	15	14	4.96	7.769	1.566330645	60.24
Present	15	15	6.128	5.922	0.966383812	78.96
Present	15	16	5.486	5.805	1.058148013	57.1
Present	15	17	4.901	5.502	1.122628035	51.3
Present	15	18	4.911	6.263	1.275300346	51.31
Present	15	19	5.447	7.032	1.290985864	63.98
Present	15	20	5.075	6.67	1.314285714	49.84
