Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Rheinischer	2	1	2.064	2.363	1.144864341	4.35
Rheinischer	2	2	2.047	2.205	1.077186126	4.37
Rheinischer	2	3	1.874	2.346	1.251867663	3.72
Rheinischer	2	4	1.969	2.079	1.055865922	3.28
Rheinischer	2	5	1.984	2.445	1.232358871	3.72
Rheinischer	2	6	2.241	2.678	1.195002231	5.8
Rheinischer	2	7	1.97	2.488	1.262944162	4.19
Rheinischer	2	8	2.205	2.438	1.105668934	4.94
Rheinischer	2	9	1.921	2.016	1.04945341	3.98
Rheinischer	2	10	1.972	2.705	1.371703854	4.66
Rheinischer	3	1	2.599	2.993	1.151596768	8.68
Rheinischer	3	2	2.758	2.637	0.956127629	8.96
Rheinischer	3	3	2.536	2.772	1.093059937	8.44
Rheinischer	3	4	2.757	3.17	1.149800508	10.53
Rheinischer	3	5	2.432	2.902	1.193256579	8.41
Rheinischer	3	6	2.82	2.929	1.038652482	10.08
Rheinischer	3	7	2.64	3.311	1.254166667	9.53
Rheinischer	3	8	2.62	2.331	0.889694656	7.1
Rheinischer	3	9	2.756	3.213	1.165820029	10.91
Rheinischer	3	10	2.54	3.182	1.252755906	8.85
Rheinischer	4	1	3.323	3.921	1.179957869	17.35
Rheinischer	4	2	2.598	2.857	1.099692071	7.75
Rheinischer	4	3	2.977	3.201	1.075243534	13.01
Rheinischer	4	4	3.323	3.56	1.071321095	17.33
Rheinischer	4	5	3.089	3.529	1.142440919	13.19
Rheinischer	4	6	3.244	3.543	1.09217016	15.38
Rheinischer	4	7	2.992	2.85	0.952540107	10.14
Rheinischer	4	8	2.787	2.882	1.034086832	9.95
Rheinischer	4	9	2.992	3.009	1.005681818	11.32
Rheinischer	4	10	3.071	3.402	1.107782481	13.39
Rheinischer	5	1	3.134	3.201	1.02137843	13.45
Rheinischer	5	2	3.984	4.178	1.048694779	28.44
Rheinischer	5	3	3.984	4.74	1.189759036	25.52
Rheinischer	5	4	3.937	4.317	1.096520193	27.77
Rheinischer	5	5	3.56	3.582	1.006179775	19.06
Rheinischer	5	6	3.512	3.487	0.992881549	17.69
Rheinischer	5	7	3.627	3.945	1.087675765	23.88
Rheinischer	5	8	2.285	2.401	1.050765864	6.12
Rheinischer	5	9	3.987	4.324	1.084524705	27.17
Rheinischer	5	10	3.166	3.403	1.074857865	15.3
Rheinischer	7	1	4.283	4.116	0.961008639	29.85
Rheinischer	7	2	4.315	4.205	0.974507532	34.16
Rheinischer	7	3	4.614	4.692	1.016905072	38.52
Rheinischer	7	4	4.221	4.802	1.137645108	35.34
Rheinischer	7	5	4.236	4.058	0.957979226	31.73
Rheinischer	7	6	4.992	5.266	1.054887821	47.31
Rheinischer	7	7	4.506	4.316	0.957833999	37.42
Rheinischer	7	8	5.278	4.57	0.86585828	47.02
Rheinischer	7	9	4.347	4.647	1.069013112	37.9
Rheinischer	7	10	4.791	4.549	0.949488625	42.62
Rheinischer	9	1	4.468	5.475	1.225380483	74.11
Rheinischer	9	2	5.053	3.954	0.782505442	32.86
Rheinischer	9	3	5.018	4.635	0.923674771	57.62
Rheinischer	9	4	6.477	4.906	0.757449436	49.76
Rheinischer	9	5	5.37	4.294	0.799627561	46.13
Rheinischer	9	6	5.26	6.617	1.257984791	88.47
Rheinischer	9	7	5.225	4.924	0.942392344	54.36
Rheinischer	9	8	5.264	5.762	1.094604863	60.69
Rheinischer	9	9	5.205	4.833	0.928530259	49.65
Rheinischer	9	10	5.317	4.73	0.889599398	46.44
Rheinischer	12	1	5.74	5.622	0.979442509	65.29
Rheinischer	12	2	6.113	5.584	0.913463111	81.03
Rheinischer	12	3	6.093	5.345	0.877236173	75.57
Rheinischer	12	4	5.88	5.939	1.010034014	78.68
Rheinischer	12	5	7.08	6.538	0.923446328	113.97
Rheinischer	12	6	5.847	5.821	0.995553275	81.07
Rheinischer	12	7	5.969	6.22	1.042050595	80.67
Rheinischer	12	8	6.379	6.331	0.99247531	94.15
Rheinischer	12	9	6.112	5.72	0.935863874	78.95
Rheinischer	12	10	6.281	5.998	0.95494348	84.88
Rheinischer	17	1	6.337	5.811	0.916995424	88
Rheinischer	17	2	6.47	5.86	0.905718702	93
Rheinischer	17	3	6.698	5.491	0.819796954	93.93
Rheinischer	17	4	7.163	6.692	0.934245428	111.85
Rheinischer	17	5	6.632	5.749	0.86685766	91.23
Rheinischer	17	6	7.129	6.381	0.895076448	109.86
Rheinischer	17	7	8.258	7.343	0.889198353	163.73
Rheinischer	17	8	7.473	6.932	0.927606048	142.69
Rheinischer	17	9	7.765	7.234	0.931616227	146.89
Rheinischer	17	10	7.627	6.993	0.916874262	141.04
Rheinischer	17	11	6.936	6.983	1.00677624	111.29
Rheinischer	17	12	6.626	6.006	0.906429218	89.44
Rheinischer	17	13	6.706	6.59	0.982702058	103.51
Rheinischer	17	14	7.223	6.883	0.952928146	123.6
Rheinischer	17	15	6.75	6.662	0.986962963	111.29
Rheinischer	17	16	7.4	6.49	0.877027027	119.38
Rheinischer	17	17	6.45	6.543	1.014418605	90.25
Rheinischer	17	18	6.811	7.102	1.042725004	114.56
Rheinischer	17	19	6.819	6.635	0.973016571	101.97
Rheinischer	17	20	7.353	7.767	1.05630355	124.43
