Cultivar	Replicate	Length	Diameter	Weight	Day
Bovarde	1	31.82	31.2	14.63	21
Bovarde	2	33.46	30.62	15.42	21
Bovarde	3	30.82	32.46	15.43	21
Bovarde	4	28.1	27.96	11.73	21
Bovarde	5	32.36	30.72	15.28	21
Bovarde	6	26.48	27.3	9.86	21
Bovarde	7	33.68	33.84	19.61	21
Bovarde	8	30.18	29.72	13.59	21
Bovarde	9	31.28	32.82	16.14	21
Bovarde	10	27.22	27.72	10.39	21
Bovarde	1	39.52	44.92	38.45	41
Bovarde	2	38.52	39.52	31.2	41
Bovarde	3	41.96	42.8	38.27	41
Bovarde	4	38.6	38.34	29.89	41
Bovarde	5	42.86	44.12	40.08	41
Bovarde	6	46.72	44.62	49.23	41
Bovarde	7	41.48	44.6	39.19	41
Bovarde	8	35.72	35.72	24.31	41
Bovarde	9	40.52	43.62	35.58	41
Bovarde	10	35.82	38.94	29.56	41
Bovarde	1	42.46	50.14	49.98	63
Bovarde	2	46.88	51.72	60.47	63
Bovarde	3	49.08	53.12	64.66	63
Bovarde	4	52.54	49.62	67.24	63
Bovarde	5	53.52	55.84	80.69	63
Bovarde	6	47.86	49.42	57.13	63
Bovarde	7	50.22	57.18	76.73	63
Bovarde	8	49.12	52.66	63.44	63
Bovarde	9	48.82	51.18	64.06	63
Bovarde	10	47.26	54.56	66.18	63
Bovarde	1	65.72	63.62	128.65	89
Bovarde	2	56.28	60.96	102.44	89
Bovarde	3	56.82	59.72	95.44	89
Bovarde	4	59.72	65.46	118.51	89
Bovarde	5	55.84	61.48	98.75	89
Bovarde	6	56.66	58.32	95.34	89
Bovarde	7	70.82	71.06	163.92	89
Bovarde	8	58.64	60.8	103.99	89
Bovarde	9	55.72	54.42	90.31	89
Bovarde	10	55.8	49.7	102.02	89
Bovarde	1	78.74	82.44	240.24	130
Bovarde	2	60.32	66.62	121.06	130
Bovarde	3	61.36	63.28	117.5	130
Bovarde	4	69.52	74.52	185.05	130
Bovarde	5	74.02	83.12	245.77	130
Bovarde	6	88.08	87.06	293.47	130
Bovarde	7	71.78	65.02	145.26	130
Bovarde	8	81.96	75.72	215.77	130
Bovarde	9	63.62	64.36	127.53	130
Bovarde	10	67.86	67.36	191.66	130
Bovarde	11	79.22	78.54	221.41	130
Bovarde	12	67.7	81.4	198.51	130
Bovarde	13	82.3	75.08	221.86	130
Bovarde	14	61.78	62.4	120.08	130
Bovarde	15	60.72	59.66	101.1	130
Bovarde	16	65.22	77.64	174.95	130
Bovarde	17	68.44	74.72	167.48	130
Bovarde	18	66.68	75.7	183.16	130
Bovarde	19	82.26	78.42	266.61	130
Bovarde	20	62.7	68.22	142.51	130
