Cultivar	Replicate	Length	Diameter	Weight	Day
Fuji	1	21.06	28.14	3.54	21
Fuji	2	27.96	22.9	7.39	21
Fuji	3	29.2	22.5	7.17	21
Fuji	4	28.72	23.84	7.92	21
Fuji	5	24.72	22.02	6.28	21
Fuji	6	26	21.38	6.13	21
Fuji	7	27.86	22.96	6.71	21
Fuji	8	27.46	21.72	6.06	21
Fuji	9	24.22	20.02	4.66	21
Fuji	10	26.78	20.4	5.48	21
Fuji	1	32.6	30.9	15.85	41
Fuji	2	30.7	29.52	15.76	41
Fuji	3	47.06	35.3	24.77	41
Fuji	4	30.94	29.4	13.21	41
Fuji	5	40.42	36.78	27.24	41
Fuji	6	26.68	31.92	18.53	41
Fuji	7	39.02	35.74	24.56	41
Fuji	8	37.66	37.06	26.25	41
Fuji	9	32.94	32.5	18.37	41
Fuji	10	36.18	38.18	25.52	41
Fuji	1	44.32	46.48	46.85	63
Fuji	2	42.16	41.1	37.63	63
Fuji	3	44.22	45.22	47.21	63
Fuji	4	48.16	45.86	48.42	63
Fuji	5	41.62	47.8	52.75	63
Fuji	6	44.72	45.26	48.58	63
Fuji	7	41.18	44.46	41.38	63
Fuji	8	45.74	43.7	45.17	63
Fuji	9	43.38	42.92	39.74	63
Fuji	10	47.94	50.52	62.27	63
Fuji	1	47.4	51.78	74.25	89
Fuji	2	54.4	55.94	90.14	89
Fuji	3	50.3	53.7	74.77	89
Fuji	4	46.82	50.4	57.41	89
Fuji	5	46.2	55.22	74.22	89
Fuji	6	48.06	51.2	68.2	89
Fuji	7	57.66	55.52	69.82	89
Fuji	8	50.4	54.04	74.91	89
Fuji	9	53.4	54.02	78.39	89
Fuji	10	52.92	55.22	84.72	89
Fuji	1	67.04	70.52	169.83	130
Fuji	2	55.02	58.36	91.78	130
Fuji	3	62.02	64.82	138.04	130
Fuji	4	61.2	67.38	141	130
Fuji	5	62.64	67.72	140.59	130
Fuji	6	63.42	64.52	134.89	130
Fuji	7	65.7	71.38	162.95	130
Fuji	8	62.54	73.14	155.73	130
Fuji	9	70.6	69.72	147.41	130
Fuji	10	58.14	65.72	130.15	130
Fuji	11	60.6	57.82	99.68	130
Fuji	12	61.84	65.1	137.33	130
Fuji	13	62.86	69.2	150.12	130
Fuji	14	64.04	68.54	152.83	130
Fuji	15	52.46	61.28	97.41	130
Fuji	16	62.56	68.44	142.45	130
Fuji	17	58.46	63.04	109.18	130
Fuji	18	59.52	65.26	129.64	130
Fuji	19	52.32	58.12	84.31	130
Fuji	20	64.02	62.08	120.2	130
