Cultivar	Replicate	Length	Diameter	Weight	Day
Kaiser	1	23.14	28.1	8.46	21
Kaiser	2	20.42	26.82	7.19	21
Kaiser	3	23.18	28.72	9.7	21
Kaiser	4	19.12	28.46	7.25	21
Kaiser	5	24.1	29.52	10.86	21
Kaiser	6	24.72	29.02	10.06	21
Kaiser	7	21.02	26.48	7.44	21
Kaiser	8	22.7	27.38	8.37	21
Kaiser	9	25.44	26.58	7.85	21
Kaiser	10	20.78	23.96	5.93	21
Kaiser	1	27.72	35.08	17.71	41
Kaiser	2	29.52	27.92	21.17	41
Kaiser	3	28.64	31.08	12.02	41
Kaiser	4	34.12	35.02	20.4	41
Kaiser	5	31.56	38.84	22.69	41
Kaiser	6	30.54	33.92	18.7	41
Kaiser	7	29.26	34.46	16.71	41
Kaiser	8	32.76	35.82	21.47	41
Kaiser	9	29.22	35.8	17.39	41
Kaiser	10	30.6	35.02	18.51	41
Kaiser	1	33.82	46.7	32.24	63
Kaiser	2	37.5	46.82	38.22	63
Kaiser	3	36.58	47.26	35.88	63
Kaiser	4	31.98	44.94	28.12	63
Kaiser	5	38.34	43.4	35.73	63
Kaiser	6	33.32	44.52	34.27	63
Kaiser	7	35.92	47.02	38.21	63
Kaiser	8	38.52	50.72	46.89	63
Kaiser	9	38.2	45.24	35.96	63
Kaiser	10	32.48	40.18	25.3	63
Kaiser	1	46.4	46.88	51.1	89
Kaiser	2	37.02	54.4	54.36	89
Kaiser	3	42.4	52.72	57.4	89
Kaiser	4	49.2	50.16	56.57	89
Kaiser	5	40.2	47.34	54.45	89
Kaiser	6	45.02	55.52	74.31	89
Kaiser	7	38.82	52.5	54.37	89
Kaiser	8	49.42	55.4	68.16	89
Kaiser	9	44.1	52.4	57.04	89
Kaiser	10	47.1	47.92	58.42	89
Kaiser	1	48.82	66.74	105.07	130
Kaiser	2	47.66	70.72	108.54	130
Kaiser	3	48.46	65.42	109.22	130
Kaiser	4	43.54	66.08	89.84	130
Kaiser	5	45.24	63.22	83.88	130
Kaiser	6	50.14	63.76	98.59	130
Kaiser	7	41.38	61.08	69.21	130
Kaiser	8	45.72	61.56	85.73	130
Kaiser	9	47.66	56.48	70.57	130
Kaiser	10	43.14	54.52	58.66	130
Kaiser	11	48.08	60.46	81.85	130
Kaiser	12	44.12	68.32	100.4	130
Kaiser	13	49.08	61.22	83.82	130
Kaiser	14	43.64	55.76	66.34	130
Kaiser	15	46.16	56.46	75	130
Kaiser	16	44.84	56.18	68.22	130
Kaiser	17	46.46	61.08	84.31	130
Kaiser	18	42.26	56.68	66.27	130
Kaiser	19	38.28	55.36	60.83	130
Kaiser	20	44.72	60.66	78.12	130
