Cultivar	Replicate	Length	Diameter	Weight	Day
Present	1	34.08	24.32	7.89	21
Present	2	29.92	22.66	6.95	21
Present	3	29.22	24.76	7.6	21
Present	4	28.24	23.74	7.87	21
Present	5	28.56	24.12	7.82	21
Present	6	28.4	22.22	6.86	21
Present	7	29.98	25.72	8.45	21
Present	8	31.02	20.8	6.53	21
Present	9	32.3	22.76	7.62	21
Present	10	32.36	23.54	7.73	21
Present	1	52.16	36.94	30.86	41
Present	2	44.72	36.48	24.95	41
Present	3	36.72	29.12	13.8	41
Present	4	48.34	34.52	23.67	41
Present	5	38.32	34.82	19.44	41
Present	6	37.1	31.98	16.84	41
Present	7	38.82	36.22	19.99	41
Present	8	38.38	32.32	17.14	41
Present	9	40.32	34.94	21.95	41
Present	10	37.04	30.3	15.27	41
Present	1	43.54	39.96	32.36	63
Present	2	53.96	43.54	39.38	63
Present	3	44.54	41.18	33.53	63
Present	4	45.72	46.3	41.88	63
Present	5	52.46	44.14	39.33	63
Present	6	52.12	39.42	36.04	63
Present	7	45.32	39.44	31.64	63
Present	8	43.42	39.42	28.03	63
Present	9	52.66	43.98	42.77	63
Present	10	47.02	39.92	35.8	63
Present	1	56.28	50.02	58.61	89
Present	2	64.38	54.5	74.28	89
Present	3	61.12	49.4	59.77	89
Present	4	49.5	42.82	40.59	89
Present	5	51.72	47.4	53.58	89
Present	6	55.7	45.8	46.04	89
Present	7	55.72	50.8	60.24	89
Present	8	57.46	49.12	57.85	89
Present	9	58.12	52.16	63.07	89
Present	10	62.62	48.4	58.62	89
Present	1	70.94	53.44	86.52	130
Present	2	58.04	52.82	70.95	130
Present	3	68.06	64.82	109.45	130
Present	4	63.52	56.02	86.41	130
Present	5	60.4	55.62	79.84	130
Present	6	67.42	55.72	91.45	130
Present	7	64.66	57.58	87.61	130
Present	8	66.14	55.72	82.35	130
Present	9	64.72	56.58	92.04	130
Present	10	73.84	59.42	104.42	130
Present	11	60.42	57.4	87.72	130
Present	12	65.9	54.72	80.32	130
Present	13	66.38	60.28	96.34	130
Present	14	62.66	57.46	84.74	130
Present	15	63.24	60.12	88.65	130
Present	16	54.26	47.52	54.43	130
Present	17	65.52	69.12	101.41	130
Present	18	69.1	59.62	99.19	130
Present	19	70.18	52.36	85.69	130
Present	20	57.22	58.94	70.2	130
