Cultivar	Replicate	Length	Diameter	Weight	Day
Wheeler	1	23.26	22.22	5.23	14
Wheeler	2	22.16	21.22	5.11	14
Wheeler	3	24.06	19.82	4.2	14
Wheeler	4	20.42	18.32	3.54	14
Wheeler	5	18.96	18.82	3.27	14
Wheeler	6	20.52	21.28	4.4	14
Wheeler	7	20.34	19.04	3.48	14
Wheeler	8	20.42	29.42	3.89	14
Wheeler	9	23.54	22.56	6.04	14
Wheeler	10	23.08	22.26	5.49	14
Wheeler	1	31.48	36.28	19.74	34
Wheeler	2	32.16	31.88	16.45	34
Wheeler	3	35.46	39.72	26.6	34
Wheeler	4	30.32	34.92	18.18	34
Wheeler	5	31.46	32.82	16.15	34
Wheeler	6	28.22	29.42	12.52	34
Wheeler	7	29.82	33.32	14.95	34
Wheeler	8	26.68	32.16	14.03	34
Wheeler	9	30.42	35.66	18.7	34
Wheeler	10	32.42	35.32	19.25	34
Wheeler	1	40.92	47.36	41.64	56
Wheeler	2	42.56	48.96	45.24	56
Wheeler	3	41.08	45.64	40	56
Wheeler	4	35.92	41.72	28.51	56
Wheeler	5	40.64	42.46	36.64	56
Wheeler	6	39.62	45.32	35.15	56
Wheeler	7	39.38	44.84	38.21	56
Wheeler	8	38.22	46.2	38.61	56
Wheeler	9	36.38	45.2	33.49	56
Wheeler	10	35.14	45.02	34.93	56
Wheeler	1	47.4	55.2	56.56	82
Wheeler	2	48.62	53.42	61.24	82
Wheeler	3	41.74	53.52	67.89	82
Wheeler	4	57.44	66.08	105.88	82
Wheeler	5	41.58	50.82	48	82
Wheeler	6	50.86	59.46	80.9	82
Wheeler	7	42.2	55.72	60.14	82
Wheeler	8	45.3	54.4	58.49	82
Wheeler	9	47.06	55.32	61.11	82
Wheeler	10	59.5	64.4	108.88	82
Wheeler	1	55.52	65.02	104.34	123
Wheeler	2	63.14	79.72	173.36	123
Wheeler	3	64.32	73.22	148.18	123
Wheeler	4	58.64	64.72	108.74	123
Wheeler	5	60.22	66.72	117.56	123
Wheeler	6	58.52	72.34	123.84	123
Wheeler	7	65.72	72.46	158.48	123
Wheeler	8	60.96	71.96	125	123
Wheeler	9	54.12	63.04	95.43	123
Wheeler	10	67.06	70.64	151.93	123
Wheeler	11	56.42	64.12	96.05	123
Wheeler	12	52.46	60.18	82.43	123
Wheeler	13	55.92	59.04	92.6	123
Wheeler	14	61.72	62.16	100.76	123
Wheeler	15	58.24	66.08	103.65	123
Wheeler	16	63.14	70.62	127.04	123
Wheeler	17	62.48	73.64	142.56	123
Wheeler	18	53.04	60.34	85.36	123
Wheeler	19	60.36	76.48	153.93	123
Wheeler	20	51.58	59.52	75.97	123
