Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	3.372381275	1.21531695
W1/2	W1	1	2	2.852922581	1.048320128
W1/3	W1	1	3	3.04785845	1.114439084
W1/4	W1	1	4	3.302181373	1.194582787
W1/5	W1	1	5	3.064698888	1.119907881
W1/6	W1	1	6	3.231284199	1.172716046
W1/7	W1	1	7	3.458752288	1.24090665
W1/8	W1	1	8	3.046155191	1.113813413
W1/9	W1	1	9	2.820693435	1.036976686
W12/1	W12	12	1	11.40553568	2.434070533
W12/2	W12	12	2	10.17806628	2.320229525
W12/3	W12	12	3	8.768486072	2.171012652
W12/4	W12	12	4	9.766689586	2.278963382
W12/5	W12	12	5	9.481362908	2.249254663
W12/6	W12	12	6	9.822229542	2.284642798
W12/7	W12	12	7	9.584905985	2.260135746
W12/8	W12	12	8	10.52820286	2.353930552
W12/9	W12	12	9	9.215161542	2.220835629
W17/1	W17	17	1	9.952765127	2.297764128
W17/2	W17	17	2	11.20496321	2.41618231
W17/3	W17	17	3	11.44256695	2.437329688
W17/4	W17	17	4	11.21116894	2.416894327
W17/5	W17	17	5	13.06062966	2.569252426
W17/6	W17	17	6	11.46334912	2.439139914
W17/7	W17	17	7	12.95565217	2.561508266
W17/8	W17	17	8	11.64146948	2.454544375
W17/9	W17	17	9	10.93532414	2.391998294
W2/1	W2	2	1	3.304654066	1.195234974
W2/2	W2	2	2	3.901198049	1.361235968
W2/3	W2	2	3	4.052223397	1.399263702
W2/4	W2	2	4	3.641595687	1.292421959
W2/5	W2	2	5	3.820175242	1.34014646
W2/6	W2	2	6	3.718334259	1.313222006
W2/7	W2	2	7	4.094928039	1.409670376
W2/8	W2	2	8	3.799507489	1.334863321
W2/9	W2	2	9	3.780906783	1.329963795
W3/1	W3	3	1	4.484864202	1.500698306
W3/2	W3	3	2	4.674397203	1.542066982
W3/3	W3	3	3	4.314639615	1.461974446
W3/4	W3	3	4	4.626890824	1.531881488
W3/5	W3	3	5	5.295925572	1.666901636
W3/6	W3	3	6	4.576205423	1.520800783
W3/7	W3	3	7	4.539905098	1.512826918
W3/8	W3	3	8	4.092232509	1.409065193
W3/9	W3	3	9	4.80338898	1.56931574
W4/1	W4	4	1	5.312891307	1.669996868
W4/2	W4	4	2	5.34693843	1.676507585
W4/3	W4	4	3	5.633911776	1.728758089
W4/4	W4	4	4	4.179571821	1.430019058
W4/5	W4	4	5	4.658334613	1.538538279
W4/6	W4	4	6	5.346139109	1.676373418
W4/7	W4	4	7	3.504634852	1.254056135
W4/8	W4	4	8	5.369268988	1.680684249
W4/9	W4	4	9	5.510941119	1.70670922
W5/1	W5	5	1	5.793955792	1.756810184
W5/2	W5	5	2	5.887248916	1.772705981
W5/3	W5	5	3	6.102206177	1.80864367
W5/4	W5	5	4	5.812529621	1.759975433
W5/5	W5	5	5	6.023175594	1.795611239
W5/6	W5	5	6	6.77247155	1.912865379
W5/7	W5	5	7	5.697877584	1.740089364
W5/8	W5	5	8	5.52367093	1.709041626
W5/9	W5	5	9	6.451123645	1.864249553
W7/1	W7	7	1	7.42144062	2.004205301
W7/2	W7	7	2	6.666681861	1.897083726
W7/3	W7	7	3	8.048432277	2.08543069
W7/4	W7	7	4	7.945117769	2.072550064
W7/5	W7	7	5	7.683874352	2.03912286
W7/6	W7	7	6	7.944777701	2.072509676
W7/7	W7	7	7	7.038163112	1.950324824
W7/8	W7	7	8	7.981389904	2.077097769
W7/9	W7	7	9	6.014939428	1.794239733
W9/1	W9	9	1	8.33425078	2.120083448
W9/2	W9	9	2	8.839207982	2.179043807
W9/3	W9	9	3	8.049879115	2.085652086
W9/4	W9	9	4	7.487366147	2.013215633
W9/5	W9	9	5	8.672228684	2.160003331
W9/6	W9	9	6	7.186145516	1.97215489
W9/7	W9	9	7	9.581933247	2.259877424
W9/8	W9	9	8	7.844759722	2.059842455
W9/9	W9	9	9	8.345444037	2.121638364
