Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	3.931249394	1.368830494
W1/10	W1	1	10	2.903612764	1.065931866
W1/2	W1	1	2	4.217927551	1.439343879
W1/3	W1	1	3	4.59193605	1.524287246
W1/4	W1	1	4	4.130179881	1.418320693
W1/5	W1	1	5	3.862395286	1.351263507
W1/6	W1	1	6	4.057961232	1.400466969
W1/7	W1	1	7	3.492701513	1.250576898
W1/8	W1	1	8	3.129703985	1.140938423
W1/9	W1	1	9	3.468822254	1.243756723
W12/1	W12	12	1	9.987236463	2.30130118
W12/10	W12	12	10	10.94948801	2.393292276
W12/2	W12	12	2	11.48886355	2.441318742
W12/3	W12	12	3	11.7655892	2.46508354
W12/4	W12	12	4	10.97034962	2.39519394
W12/5	W12	12	5	9.435206861	2.244318882
W12/6	W12	12	6	11.95342883	2.481018168
W12/7	W12	12	7	10.53080987	2.353885119
W12/8	W12	12	8	10.8725429	2.386239719
W12/9	W12	12	9	9.737322003	2.275047852
W15/1	W15	15	1	11.92944562	2.478952906
W15/10	W15	15	10	13.23764775	2.582604586
W15/2	W15	15	2	12.04253883	2.488246688
W15/3	W15	15	3	12.18238028	2.499980106
W15/4	W15	15	4	13.29284686	2.587189493
W15/5	W15	15	5	13.82776468	2.626630096
W15/6	W15	15	6	11.81588613	2.469382045
W15/7	W15	15	7	12.80371765	2.5497329
W15/8	W15	15	8	13.75377433	2.621287226
W15/9	W15	15	9	13.12691265	2.573621444
W2/1	W2	2	1	4.893999073	1.58800885
W2/10	W2	2	10	4.642937161	1.535339282
W2/2	W2	2	2	5.016067375	1.612645711
W2/3	W2	2	3	4.809598071	1.570584653
W2/4	W2	2	4	3.861362092	1.351014795
W2/5	W2	2	5	4.498181577	1.503663522
W2/6	W2	2	6	5.130480315	1.635105492
W2/7	W2	2	7	4.025849405	1.392721492
W2/8	W2	2	8	4.786500006	1.565799215
W2/9	W2	2	9	4.583530238	1.522447551
W3/1	W3	3	1	5.893708704	1.773840449
W3/10	W3	3	10	6.250055366	1.832590195
W3/2	W3	3	2	4.684078632	1.544167672
W3/3	W3	3	3	4.436331034	1.489636048
W3/4	W3	3	4	5.042709311	1.617899887
W3/5	W3	3	5	6.265387106	1.835038841
W3/6	W3	3	6	6.518837599	1.874679886
W3/7	W3	3	7	5.476917666	1.700493285
W3/8	W3	3	8	5.266350377	1.661331118
W3/9	W3	3	9	5.259213727	1.659910696
W4/1	W4	4	1	7.586577743	2.026261115
W4/10	W4	4	10	6.561449008	1.881152661
W4/2	W4	4	2	6.73484772	1.906980377
W4/3	W4	4	3	4.870681962	1.58299441
W4/4	W4	4	4	5.96917905	1.786500096
W4/5	W4	4	5	4.89146997	1.585995077
W4/6	W4	4	6	6.538803394	1.877616419
W4/7	W4	4	7	7.266574559	1.983263729
W4/8	W4	4	8	7.513170869	2.016637998
W4/9	W4	4	9	6.46691831	1.866689252
W5/1	W5	5	1	8.872374631	2.182920236
W5/10	W5	5	10	8.439548492	2.132635041
W5/2	W5	5	2	7.772979235	2.050605409
W5/3	W5	5	3	7.771402789	2.050039439
W5/4	W5	5	4	8.501967318	2.140294768
W5/5	W5	5	5	8.0511849	2.085818209
W5/6	W5	5	6	9.069243259	2.204887889
W5/7	W5	5	7	8.029848357	2.082845816
W5/8	W5	5	8	7.791347437	2.0528564
W5/9	W5	5	9	7.200101547	1.973824874
W7/1	W7	7	1	9.879799541	2.290436396
W7/10	W7	7	10	9.178050904	2.216633131
W7/2	W7	7	2	9.324279401	2.2326068
W7/3	W7	7	3	8.755510732	2.169673817
W7/4	W7	7	4	8.917161346	2.187966965
W7/5	W7	7	5	8.154343247	2.098467581
W7/6	W7	7	6	9.870815349	2.2895689
W7/7	W7	7	7	8.136868399	2.096336349
W7/8	W7	7	8	7.9788233	2.07578522
W7/9	W7	7	9	9.527407464	2.254164548
W9/1	W9	9	1	9.193050105	2.218394248
W9/10	W9	9	10	10.07026413	2.309581848
W9/2	W9	9	2	8.929977294	2.189411559
W9/3	W9	9	3	10.84300274	2.383390057
W9/4	W9	9	4	11.42874778	2.435923186
W9/5	W9	9	5	11.11855868	2.408576802
W9/6	W9	9	6	8.063874229	2.087024164
W9/7	W9	9	7	12.02883818	2.487168858
W9/8	W9	9	8	10.11385453	2.313777654
W9/9	W9	9	9	8.738645833	2.167727665
