Id	WeekID	Week	Individual	CentroidSize	LogCentroidSize
W1/1	W1	1	1	3.301638416	1.194308329
W1/10	W1	1	10	2.78949057	1.025747833
W1/2	W1	1	2	2.646821194	0.973311234
W1/3	W1	1	3	3.558306013	1.269284481
W1/4	W1	1	4	3.04385133	1.113120126
W1/5	W1	1	5	3.327848242	1.2023101
W1/6	W1	1	6	2.845694954	1.045692488
W1/7	W1	1	7	2.756904309	1.013687416
W1/9	W1	1	9	3.099619062	1.131197016
W12/1	W12	12	1	9.460844836	2.247143809
W12/10	W12	12	10	8.768618431	2.17108684
W12/2	W12	12	2	9.101312398	2.208186197
W12/3	W12	12	3	9.173307532	2.21629786
W12/4	W12	12	4	8.764205384	2.170644928
W12/5	W12	12	5	8.22271592	2.106870891
W12/6	W12	12	6	8.620808382	2.154152293
W12/7	W12	12	7	9.081232433	2.206201176
W12/9	W12	12	9	8.391436011	2.127210036
W2/1	W2	2	1	3.612567843	1.284396503
W2/10	W2	2	10	3.218711197	1.168980044
W2/2	W2	2	2	3.792934392	1.333009738
W2/3	W2	2	3	3.557916454	1.269155092
W2/4	W2	2	4	3.271074226	1.185106915
W2/5	W2	2	5	3.799070195	1.334755815
W2/6	W2	2	6	4.014265626	1.389851424
W2/7	W2	2	7	3.617693852	1.285822226
W2/9	W2	2	9	3.979554857	1.381136427
W3/1	W3	3	1	4.586937771	1.52309175
W3/10	W3	3	10	4.005148148	1.387415106
W3/2	W3	3	2	3.98368354	1.382017505
W3/3	W3	3	3	3.991791519	1.384235546
W3/4	W3	3	4	3.963789522	1.377197284
W3/5	W3	3	5	4.539879766	1.512801947
W3/6	W3	3	6	4.220649963	1.439988467
W3/7	W3	3	7	4.380185995	1.477009981
W3/9	W3	3	9	3.943366186	1.372032929
W4/1	W4	4	1	4.788126105	1.566133481
W4/10	W4	4	10	4.926010472	1.594488579
W4/2	W4	4	2	5.302746199	1.668172365
W4/3	W4	4	3	4.273664359	1.452417914
W4/4	W4	4	4	5.557740565	1.71517924
W4/5	W4	4	5	5.976389337	1.787816095
W4/6	W4	4	6	4.985794965	1.606564498
W4/7	W4	4	7	4.448860821	1.492647894
W4/9	W4	4	9	4.746489535	1.557378747
W5/1	W5	5	1	4.105918773	1.412400577
W5/10	W5	5	10	5.166546648	1.642184466
W5/2	W5	5	2	6.463082238	1.866097395
W5/3	W5	5	3	5.118899597	1.632835063
W5/4	W5	5	4	4.908384544	1.59088879
W5/5	W5	5	5	4.751190741	1.558354944
W5/6	W5	5	6	6.102172149	1.808603495
W5/7	W5	5	7	5.554614121	1.714475752
W5/9	W5	5	9	5.831928492	1.763346308
W7/1	W7	7	1	5.332668238	1.673851682
W7/10	W7	7	10	5.490463252	1.702982669
W7/2	W7	7	2	6.836076434	1.922183586
W7/3	W7	7	3	7.704823905	2.041843426
W7/4	W7	7	4	6.78246401	1.914308379
W7/5	W7	7	5	7.480829982	2.012323405
W7/6	W7	7	6	6.834332452	1.921914863
W7/7	W7	7	7	6.850664164	1.924340581
W7/9	W7	7	9	6.369318511	1.851039158
W9/1	W9	9	1	8.872335576	2.182821783
W9/10	W9	9	10	8.567037422	2.147837538
W9/2	W9	9	2	8.90703365	2.186574674
W9/3	W9	9	3	7.840570973	2.059311522
W9/4	W9	9	4	7.489756292	2.013529714
W9/5	W9	9	5	8.966516612	2.19347698
W9/6	W9	9	6	6.785596999	1.914791457
W9/7	W9	9	7	7.613899288	2.029963776
W9/9	W9	9	9	7.711649256	2.042708561
