Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Red	2	1	2.3	2.379	1.034347826	5.69
Red	2	2	2.235	2.526	1.130201342	7.17
Red	2	3	2.646	2.396	0.905517763	6.64
Red	2	4	2.536	2.143	0.845031546	5.31
Red	2	5	2.285	2.544	1.113347921	7.49
Red	2	6	2.537	2.646	1.042964131	9.34
Red	2	7	2.977	2.346	0.788041653	7.02
Red	2	8	2.506	2.285	0.911811652	5.53
Red	2	9	2.222	2.675	1.203870387	5.12
Red	2	10	2.614	2.154	0.824024484	8.42
Red	3	1	3.308	3.127	0.94528416	14.54
Red	3	2	2.773	2.583	0.931482149	9.83
Red	3	3	2.724	2.646	0.971365639	9.25
Red	3	4	2.772	2.741	0.988816739	10.15
Red	3	5	2.789	2.824	1.012549301	13.33
Red	3	6	3.241	2.587	0.798210429	11.51
Red	3	7	3.03	2.945	0.971947195	12.2
Red	3	8	3.134	2.977	0.949904276	14.18
Red	3	9	3.308	2.567	0.775997582	8.12
Red	3	10	2.764	2.802	1.013748191	9.2
Red	4	1	3.575	3.229	0.903216783	17.91
Red	4	2	3.544	3.593	1.013826185	18.41
Red	4	3	2.772	2.903	1.047258297	10.4
Red	4	4	4.032	3.673	0.910962302	23.04
Red	4	5	4.19	3.908	0.932696897	28.23
Red	4	6	3.736	3.578	0.957708779	18.86
Red	4	7	3.37	3.058	0.907418398	13.68
Red	4	8	3.449	3.498	1.014207017	15.93
Red	4	9	3.433	3.245	0.945237402	15.02
Red	4	10	3.559	3.307	0.929193594	16.42
Red	5	1	3.024	2.724	0.900793651	11.42
Red	5	2	4.504	4.583	1.017539964	32.84
Red	5	3	3.814	3.309	0.867593078	20.77
Red	5	4	3.417	3.388	0.991513023	15.94
Red	5	5	3.624	3.213	0.886589404	15.93
Red	5	6	4.425	4.095	0.925423729	32.08
Red	5	7	4.111	3.518	0.855752858	24.83
Red	5	8	4.331	3.702	0.854767952	30.41
Red	5	9	4.252	3.717	0.874176858	27.96
Red	5	10	3.764	3.308	0.878852285	20.34
Red	7	1	3.89	3.669	0.943187661	22.67
Red	7	2	5.418	4.079	0.752860834	47.41
Red	7	3	5.811	4.961	0.853725693	58.77
Red	7	4	4.717	4.442	0.941700233	40.95
Red	7	5	5.361	4.945	0.922402537	53.49
Red	7	6	5.212	4.331	0.830966999	45.23
Red	7	7	4.913	4.253	0.865662528	43.84
Red	7	8	4.667	4.041	0.865866724	38.3
Red	7	9	4.623	3.953	0.855072464	35.72
Red	7	10	4.126	3.527	0.854823073	24.75
Red	9	1	6.378	5.867	0.91988084	80.37
Red	9	2	5.985	5.835	0.974937343	80.55
Red	9	3	5.849	5.659	0.967515815	68.86
Red	9	4	5.691	5.264	0.92496925	61.11
Red	9	5	6.273	5.606	0.89367129	75.16
Red	9	6	4.963	4.441	0.89482168	43.47
Red	9	7	5.855	4.928	0.841673783	63.42
Red	9	8	6.147	5.508	0.896046852	73.92
Red	9	9	5.97	4.679	0.783752094	63.8
Red	9	10	6.363	5.63	0.884802766	80.73
Red	12	1	6.922	6.099	0.881103727	99.91
Red	12	2	6.838	5.567	0.814126938	95.5
Red	12	3	6.807	5.833	0.856912002	91.71
Red	12	4	7.233	5.743	0.793999723	95.88
Red	12	5	6.413	5.207	0.811944488	76.77
Red	12	6	6.491	5.875	0.905099368	80.96
Red	12	7	6.889	5.45	0.791116272	98.81
Red	12	8	6.145	5.417	0.881529699	72.87
Red	12	9	6.227	5.455	0.876023767	78.15
Red	12	10	6.348	5.296	0.834278513	81.8
Red	12	11	7.034	6.268	0.89110037	107.21
Red	12	12	6.888	5.404	0.784552846	90.76
Red	12	13	7.273	5.831	0.801732435	105.72
Red	12	14	5.89	4.836	0.821052632	57.16
Red	12	15	5.143	4.379	0.851448571	46.48
Red	12	16	5.533	4.567	0.825411169	55.66
Red	12	17	5.048	4.636	0.918383518	142.18
Red	12	18	6.529	5.626	0.861693981	82.8
Red	12	19	5.657	4.146	0.732897295	55.61
Red	12	20	5.891	4.945	0.839416058	62.63
