Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Wheeler	2	1	2.127	2.29	1.076633756	4.7
Wheeler	2	2	2.441	2.504	1.025809095	6.25
Wheeler	2	3	2.221	2.001	0.90094552	4.72
Wheeler	2	4	2.289	2.314	1.0109218	5.44
Wheeler	2	5	2.284	2.555	1.118651489	5.54
Wheeler	2	6	2.252	2.238	0.993783304	5.23
Wheeler	2	7	2.173	2.221	1.022089277	4.65
Wheeler	2	8	2.332	1.903	0.816037736	5.03
Wheeler	2	9	2.064	1.922	0.93120155	4.34
Wheeler	2	10	1.953	2.032	1.040450589	3.25
Wheeler	3	1	2.898	2.904	1.002070393	10.55
Wheeler	3	2	2.659	2.362	0.888303874	7.66
Wheeler	3	3	3.131	2.947	0.941232833	12.99
Wheeler	3	4	2.437	2.489	1.02133771	6.85
Wheeler	3	5	3.011	2.742	0.91066091	9.44
Wheeler	3	6	2.992	2.888	0.965240642	10.5
Wheeler	3	7	2.426	2.27	0.93569662	6.39
Wheeler	3	8	2.458	2.41	0.980471928	6.06
Wheeler	3	9	2.931	2.615	0.892186967	9.9
Wheeler	3	10	2.709	2.418	0.892580288	7.66
Wheeler	4	1	3.228	3.167	0.98110285	12.74
Wheeler	4	2	2.916	3.024	1.037037037	9.77
Wheeler	4	3	2.85	2.804	0.983859649	9.36
Wheeler	4	4	2.995	2.805	0.936560935	10.01
Wheeler	4	5	3.47	3.025	0.871757925	14.4
Wheeler	4	6	2.567	2.52	0.98169069	6.95
Wheeler	4	7	2.899	2.918	1.006553984	12.07
Wheeler	4	8	3.497	3.42	0.977981127	15.82
Wheeler	4	9	3.153	2.759	0.875039645	10.62
Wheeler	4	10	3.135	2.852	0.909728868	11.32
Wheeler	5	1	3.212	3.295	1.025840598	15.98
Wheeler	5	2	2.854	2.504	0.877365102	8.85
Wheeler	5	3	4.031	3.213	0.797072687	20.63
Wheeler	5	4	2.913	2.791	0.958118778	10.01
Wheeler	5	5	3.89	3.339	0.858354756	18.53
Wheeler	5	6	3.669	3.735	1.017988553	19.37
Wheeler	5	7	3.685	3.024	0.820624152	15.92
Wheeler	5	8	3.464	3.172	0.915704388	16.06
Wheeler	5	9	3.15	2.416	0.766984127	10
Wheeler	5	10	3.401	2.819	0.828873861	14.35
Wheeler	7	1	5.134	4.22	0.821971173	42.55
Wheeler	7	2	3.733	3.638	0.974551299	22.25
Wheeler	7	3	5.325	4.492	0.843568075	45.06
Wheeler	7	4	4.425	3.977	0.898757062	31.72
Wheeler	7	5	4.08	3.623	0.887990196	23.99
Wheeler	7	6	3.748	3.595	0.959178228	19.55
Wheeler	7	7	4.41	4.027	0.913151927	29.39
Wheeler	7	8	4.756	4.101	0.862279226	35.95
Wheeler	7	9	4.772	4.016	0.841575859	33.1
Wheeler	7	10	5.055	3.89	0.769535114	37.91
Wheeler	9	1	5.641	4.691	0.831590144	53.86
Wheeler	9	2	6.241	5.154	0.825829194	63.03
Wheeler	9	3	5.911	5.295	0.895787515	64.1
Wheeler	9	4	6.484	4.937	0.761412708	72.52
Wheeler	9	5	4.908	4.364	0.889160554	39.65
Wheeler	9	6	4.772	3.892	0.815590947	38.04
Wheeler	9	7	6.922	5.398	0.779832418	83.43
Wheeler	9	8	5.018	4.647	0.926066162	44.7
Wheeler	9	9	5.389	5.093	0.945073297	51.23
Wheeler	9	10	5.438	4.417	0.81224715	51.14
Wheeler	12	1	6.101	4.435	0.726930011	67
Wheeler	12	2	7.885	6.268	0.794927077	119.29
Wheeler	12	3	6.898	5.102	0.739634677	77.72
Wheeler	12	4	7.324	6.539	0.892818132	118.21
Wheeler	12	5	6.641	4.459	0.671435025	76.39
Wheeler	12	6	6.623	5.655	0.853842669	82.25
Wheeler	12	7	7.967	6.331	0.794652943	132.02
Wheeler	12	8	6.973	6.278	0.900329844	100.29
Wheeler	12	9	5.748	5.726	0.996172582	67.84
Wheeler	12	10	6.335	4.597	0.725651144	65.95
Wheeler	17	1	8.804	7.278	0.826669696	150.28
Wheeler	17	2	7.311	6.329	0.865681849	123.4
Wheeler	17	3	7.677	6.695	0.87208545	121.88
Wheeler	17	4	7.618	6.278	0.824100814	121.15
Wheeler	17	5	7.159	5.844	0.816315128	92.2
Wheeler	17	6	7.417	6.528	0.880140218	106.26
Wheeler	17	7	7.921	6.768	0.854437571	126.32
Wheeler	17	8	7.094	6.819	0.961234846	102.71
Wheeler	17	9	7.268	6.295	0.866125482	109.8
Wheeler	17	10	7.627	6.514	0.854071063	128.46
Wheeler	17	11	7.953	6.353	0.798818056	119.07
Wheeler	17	12	7.172	6.141	0.856246514	103.31
Wheeler	17	13	6.916	6.665	0.963707345	112.95
Wheeler	17	14	7.778	6.409	0.823990743	130.66
Wheeler	17	15	8.19	7.019	0.857020757	155.91
Wheeler	17	16	7.858	6.432	0.818528888	116.17
Wheeler	17	17	8.819	7.036	0.797822882	158.02
Wheeler	17	18	7.656	5.939	0.775731452	116.48
Wheeler	17	19	7.486	6.463	0.86334491	112.08
Wheeler	17	20	7.753	5.711	0.736618083	116.42
