Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Adam	2	1	2.222	2.679	1.205670567	6.11
Adam	2	2	1.972	3.105	1.574543611	5.22
Adam	2	3	2.063	2.662	1.290353854	4.8
Adam	2	4	2.285	2.819	1.233698031	6.33
Adam	2	5	2.11	3.244	1.537440758	5.81
Adam	2	6	2.08	2.779	1.336057692	4.09
Adam	2	7	2.027	2.431	1.199309324	5.73
Adam	2	8	2.243	3.028	1.349977708	5.79
Adam	2	9	2.106	2.752	1.30674264	4.39
Adam	2	10	2.175	2.792	1.283678161	6.42
Adam	3	1	2.394	3.024	1.263157895	7.76
Adam	3	2	2.74	3.247	1.185036496	10.23
Adam	3	3	3.121	3.51	1.124639539	13.99
Adam	3	4	2.882	3.183	1.10444136	12.56
Adam	3	5	2.963	3.595	1.213297334	11.87
Adam	3	6	3.071	3.298	1.073917291	12.6
Adam	3	7	2.898	3.277	1.130779848	11.02
Adam	3	8	2.855	3.289	1.152014011	11.13
Adam	3	9	3.235	3.386	1.046676971	13.33
Adam	3	10	2.723	3.084	1.132574367	10.29
Adam	4	1	2.866	3.78	1.318911375	14.13
Adam	4	2	2.913	3.357	1.152420185	12.44
Adam	4	3	3.307	4.11	1.242818264	18.38
Adam	4	4	3.591	4.236	1.179615706	21.7
Adam	4	5	3.244	3.638	1.121454994	16.11
Adam	4	6	3.48	3.906	1.122413793	18.95
Adam	4	7	3.59	3.858	1.074651811	18.96
Adam	4	8	2.85	3.134	1.099649123	11.65
Adam	4	9	3.197	3.515	1.099468251	14.57
Adam	4	10	3.134	3.405	1.086470964	13.93
Adam	5	1	3.307	3.874	1.17145449	18.49
Adam	5	2	3.136	3.703	1.180803571	14.69
Adam	5	3	3.496	3.846	1.100114416	18.28
Adam	5	4	3.701	4.205	1.136179411	22.03
Adam	5	5	2.724	3.34	1.226138032	9.75
Adam	5	6	3.008	3.498	1.162898936	14.74
Adam	5	7	3.475	3.938	1.13323741	20.65
Adam	5	8	3.701	4.378	1.182923534	24.38
Adam	5	9	4.032	4.521	1.121279762	28.11
Adam	5	10	3.764	3.984	1.058448459	22.87
Adam	7	1	4.362	4.74	1.086657497	35.49
Adam	7	2	4.803	4.961	1.032896107	50.63
Adam	7	3	4.016	4.143	1.031623506	26.01
Adam	7	4	4.803	4.992	1.039350406	46.73
Adam	7	5	3.622	3.749	1.035063501	21.91
Adam	7	6	3.921	4.458	1.136954858	29.05
Adam	7	7	4.365	5.182	1.187170676	38.56
Adam	7	8	4.094	3.98	0.972154372	29.41
Adam	7	9	5.087	5.868	1.153528602	59.82
Adam	7	10	4.346	4.473	1.029222273	35.07
Adam	9	1	5.843	6.586	1.127160705	71.36
Adam	9	2	5.401	5.439	1.007035734	62.67
Adam	9	3	5.056	5.167	1.021954114	53.24
Adam	9	4	5.97	5.622	0.941708543	71.61
Adam	9	5	5.087	4.845	0.952427757	50.51
Adam	9	6	5.893	6.576	1.115900221	85.76
Adam	9	7	5.213	5.221	1.001534625	55.4
Adam	9	8	5.606	5.594	0.997859436	66.43
Adam	9	9	5.42	5.719	1.055166052	64.98
Adam	9	10	5.228	5.421	1.036916603	53.98
Adam	12	1	6.378	6.912	1.083725306	98.76
Adam	12	2	5.281	5.281	1	62.02
Adam	12	3	6.491	5.629	0.867200739	93.82
Adam	12	4	6.223	6.407	1.029567733	95.13
Adam	12	5	6.315	6.217	0.984481394	99.37
Adam	12	6	5.987	6.394	1.067980625	82.3
Adam	12	7	6.488	6.142	0.946670777	102.34
Adam	12	8	6.301	6.328	1.004285034	93.47
Adam	12	9	7.266	7.435	1.023259015	108.44
Adam	12	10	6.194	6.199	1.000807233	85.7
Adam	15	1	6.915	7.597	1.098626175	121.63
Adam	15	2	7.213	7.241	1.00388188	118.93
Adam	15	3	7.464	7.629	1.022106109	145.68
Adam	15	4	6.441	5.965	0.926098432	85.14
Adam	15	5	7.655	7.034	0.918876551	138.58
Adam	15	6	6.491	6.749	1.039747342	102.13
Adam	15	7	7.241	7.347	1.014638862	123.32
Adam	15	8	7.655	7.868	1.027824951	153.08
Adam	15	9	7.628	7.188	0.942317777	142.9
Adam	15	10	7.276	8.53	1.172347444	135.93
Adam	15	11	6.527	6.924	1.060824268	98.7
Adam	15	12	6.29	6.568	1.044197138	93.82
Adam	15	13	6.798	8.218	1.208884966	115.36
Adam	15	14	7.281	7.449	1.023073754	129.47
Adam	15	15	6.583	6.521	0.990581802	97.68
Adam	15	16	7.744	7.516	0.970557851	142.29
Adam	15	17	7.512	8.784	1.169329073	152.68
Adam	15	18	6.442	6.142	0.953430612	93.94
Adam	15	19	6.812	7.875	1.15604815	129.15
Adam	15	20	7.39	7.757	1.049661705	139.55
