Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Beacon	2	1	2.74	2.616	0.954744526	8.26
Beacon	2	2	2.994	2.661	0.888777555	10.83
Beacon	2	3	2.725	2.763	1.013944954	9.55
Beacon	2	4	1.969	2.428	1.233113255	4.65
Beacon	2	5	2.551	2.528	0.990983928	7.01
Beacon	2	6	2.646	2.469	0.933106576	8.56
Beacon	2	7	2.489	2.362	0.948975492	6.13
Beacon	2	8	2.506	2.252	0.898643256	6.82
Beacon	2	9	2.442	2.632	1.077805078	6.05
Beacon	2	10	2.425	2.569	1.059381443	6.48
Beacon	3	1	3.513	3.045	0.866780529	15.37
Beacon	3	2	3.199	3.249	1.015629884	13.15
Beacon	3	3	3.102	2.886	0.930367505	12.11
Beacon	3	4	2.74	2.664	0.972262774	9.38
Beacon	3	5	3.26	3.213	0.985582822	13.79
Beacon	3	6	3.029	2.693	0.889072301	11.06
Beacon	3	7	3.183	3.307	1.038956959	13.96
Beacon	3	8	2.963	2.933	0.989875127	10.59
Beacon	3	9	3.534	3.266	0.924165252	16.64
Beacon	3	10	2.709	2.859	1.055370986	10.47
Beacon	4	1	3.449	2.965	0.859669469	13.99
Beacon	4	2	3.496	3.419	0.977974828	16.19
Beacon	4	3	3.37	3.181	0.943916914	15.12
Beacon	4	4	3.638	3.813	1.048103353	20.98
Beacon	4	5	3.701	3.477	0.939475817	18.62
Beacon	4	6	3.748	3.968	1.058697972	20.65
Beacon	4	7	3.779	3.685	0.975125695	22.02
Beacon	4	8	3.842	3.577	0.931025508	19.83
Beacon	4	9	3.323	3.434	1.033403551	16.8
Beacon	4	10	3.48	3.527	1.013505747	18.44
Beacon	5	1	3.716	3.672	0.988159311	20.37
Beacon	5	2	4.22	3.606	0.85450237	27.15
Beacon	5	3	4.094	3.985	0.973375672	24.84
Beacon	5	4	2.819	3.184	1.129478538	9.72
Beacon	5	5	4.301	4.539	1.055335968	34.51
Beacon	5	6	3.987	3.771	0.945823928	23.01
Beacon	5	7	3.701	3.592	0.9705485	22.3
Beacon	5	8	3.827	3.907	1.020904102	24.25
Beacon	5	9	3.769	4.175	1.107720881	23.48
Beacon	5	10	3.669	3.546	0.966475879	20.44
Beacon	7	1	4.441	3.956	0.890790363	32.73
Beacon	7	2	5.323	4.976	0.934811197	51.98
Beacon	7	3	4.538	4.126	0.909211106	30.78
Beacon	7	4	4.819	4.693	0.973853497	40.16
Beacon	7	5	4.614	4.032	0.873862159	31.72
Beacon	7	6	4.661	4.302	0.922977902	36.32
Beacon	7	7	3.591	3.402	0.947368421	20
Beacon	7	8	4.929	4.803	0.974437005	42.41
Beacon	7	9	4.395	4.269	0.971331058	33.501
Beacon	7	10	4.913	4.35	0.885406066	39.67
Beacon	9	1	5.481	4.756	0.867724868	55.26
Beacon	9	2	5.989	5.046	0.842544665	68.89
Beacon	9	3	4.725	4.128	0.873650794	37.08
Beacon	9	4	6.306	6.029	0.956073581	90.87
Beacon	9	5	6.047	5.627	0.930544071	73.71
Beacon	9	6	5.748	5.245	0.912491301	65.38
Beacon	9	7	5.404	4.944	0.914877868	53.63
Beacon	9	8	5.28	5.006	0.948106061	51.56
Beacon	9	9	5.182	4.772	0.920879969	51.21
Beacon	9	10	5.026	4.82	0.959013132	48.52
Beacon	12	1	7.421	6.472	0.87211966	117.68
Beacon	12	2	6.868	6.744	0.981945253	111.05
Beacon	12	3	6.544	6.472	0.988997555	96.75
Beacon	12	4	6.494	5.985	0.921619957	91.58
Beacon	12	5	7.484	6.915	0.923971138	138
Beacon	12	6	5.854	5.056	0.863682952	65.88
Beacon	12	7	6.281	6.391	1.017513135	87.16
Beacon	12	8	6.597	6.126	0.928603911	91.36
Beacon	12	9	6.845	5.797	0.846895544	96.09
Beacon	12	10	6.003	5.56	0.926203565	78.29
Beacon	12	11	6.649	5.874	0.883441119	89.22
Beacon	12	12	5.647	5.024	0.889675934	62.18
Beacon	12	13	5.85	4.835	0.826495726	62.84
Beacon	12	14	6.972	6.065	0.869908204	99.6
Beacon	12	15	6.36	5.773	0.907704403	78.5
Beacon	12	16	5.58	5.181	0.928494624	66.35
Beacon	12	17	6.897	6.428	0.93199942	107.69
Beacon	12	18	6.303	6.445	1.022528954	97.41
Beacon	12	19	6.128	5.591	0.912369452	79.73
Beacon	12	20	6.933	6.459	0.931631328	109.77
