Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Catshead	2	1	3.087	3.197	1.035633301	12.14
Catshead	2	2	2.709	3.327	1.228128461	11.55
Catshead	2	3	2.933	3.122	1.064439141	10.39
Catshead	2	4	2.916	2.488	0.853223594	7.71
Catshead	2	5	2.52	3.033	1.203571429	11.97
Catshead	2	6	2.646	3.46	1.307634165	9.21
Catshead	2	7	2.875	2.693	0.936695652	8.85
Catshead	2	8	2.709	3.181	1.174234035	8.31
Catshead	2	9	2.962	3.225	1.088791357	10.07
Catshead	2	10	2.79	3.201	1.147311828	10.21
Catshead	3	1	3.401	3.825	1.124669215	18.57
Catshead	3	2	2.993	3.093	1.033411293	11.56
Catshead	3	3	3.087	2.864	0.927761581	11.63
Catshead	3	4	2.883	3.322	1.152271939	23.12
Catshead	3	5	3.749	4.097	1.092824753	23.78
Catshead	3	6	3.434	4.551	1.325276645	18.89
Catshead	3	7	3.165	3.323	1.049921011	15.11
Catshead	3	8	2.929	3.372	1.151246159	21.66
Catshead	3	9	3.53	3.753	1.063172805	13.78
Catshead	4	1	4.331	4.993	1.152851535	35.78
Catshead	4	2	4.85	4.63	0.954639175	38.11
Catshead	4	3	3.228	3.468	1.074349442	13.51
Catshead	4	4	4.22	4.253	1.007819905	27.3
Catshead	4	5	3.939	4.081	1.036049759	20.23
Catshead	4	6	4.552	4.348	0.955184534	30.2
Catshead	4	7	4.299	4.883	1.135845545	34.87
Catshead	4	8	4.693	4.779	1.018325165	38.72
Catshead	4	9	4.285	3.985	0.929988331	29.14
Catshead	4	10	4.157	4.394	1.057012268	29.73
Catshead	5	1	5.606	5.781	1.031216554	62.13
Catshead	5	2	4.142	5.15	1.243360695	36.19
Catshead	5	3	4.331	5.403	1.247517894	34.97
Catshead	5	4	5.087	5.75	1.130332219	50.26
Catshead	5	5	4.724	5.323	1.126799323	43.14
Catshead	5	6	5.228	5.953	1.138676358	51.15
Catshead	5	7	4.63	5.182	1.119222462	55
Catshead	5	8	4.781	5.172	1.081782054	44.3
Catshead	5	9	5.103	4.962	0.972369195	42.97
Catshead	5	10	5.244	5.864	1.118230359	44.17
Catshead	7	1	5.748	6.097	1.060716771	72.84
Catshead	7	2	5.15	6.048	1.174368932	64.42
Catshead	7	3	5.26	5.978	1.136501901	59.96
Catshead	7	4	5.89	6.005	1.019524618	74.86
Catshead	7	5	5.055	5.33	1.054401583	49.62
Catshead	7	6	5.843	6.479	1.108848194	80.93
Catshead	7	7	5.575	5.732	1.028161435	59.04
Catshead	7	8	5.622	5.244	0.932764141	63.59
Catshead	7	9	5.954	6.529	1.096573732	76.4
Catshead	7	10	5.559	5.798	1.042993344	69.23
Catshead	9	1	5.608	6.362	1.134450785	71.26
Catshead	9	2	5.738	6.174	1.075984664	85.78
Catshead	9	3	6.071	7.154	1.178389063	107.19
Catshead	9	4	6.914	7.28	1.052936072	126.68
Catshead	9	5	6.714	7.45	1.109621686	104.93
Catshead	9	6	5.727	5.055	0.882661079	60.34
Catshead	9	7	7.711	7.656	0.992867332	137.13
Catshead	9	8	6.33	6.511	1.028593997	86.17
Catshead	9	9	5.965	5.928	0.99379715	69.17
Catshead	9	10	5.851	6.52	1.114339429	82.33
Catshead	12	1	6.641	6.501	0.978918838	115.24
Catshead	12	2	8.011	7.445	0.929347148	149.96
Catshead	12	3	7.137	7.335	1.027742749	125.93
Catshead	12	4	7.434	6.975	0.938256659	120.83
Catshead	12	5	6.277	6.536	1.041261749	86.58
Catshead	12	6	6.63	8.1	1.221719457	136.43
Catshead	12	7	7.437	6.914	0.929675945	116.11
Catshead	12	8	7.263	6.961	0.958419386	116.86
Catshead	12	9	5.433	6.683	1.230075465	77.13
Catshead	12	10	7.217	7.23	1.001801302	115.24
Catshead	15	1	7.948	7.651	0.962632109	148.34
Catshead	15	2	8.254	7.332	0.888296583	156
Catshead	15	3	8.258	7.751	0.938604989	157.79
Catshead	15	4	8.762	8.316	0.949098379	187.87
Catshead	15	5	8.757	8.783	1.002969053	196.75
Catshead	15	6	7.817	7.335	0.938339516	136.47
Catshead	15	7	8.769	8.147	0.929068309	166.44
Catshead	15	8	8.666	8.231	0.949803831	191.24
Catshead	15	9	8.107	9.058	1.117306032	186.98
Catshead	15	10	8.301	8.107	0.976629322	181.81
Catshead	15	11	7.673	7.643	0.996090186	141.33
Catshead	15	12	6.972	7.562	1.084624211	105.8
Catshead	15	13	8.774	9.074	1.034191931	196.79
Catshead	15	14	7.823	7.858	1.004473987	155.01
Catshead	15	15	8.51	7.929	0.93172738	196.52
Catshead	15	16	7.928	6.925	0.873486377	152.38
Catshead	15	17	7.298	6.963	0.954097013	120.19
Catshead	15	18	8.269	8.822	1.066876285	184.18
Catshead	15	19	7.363	7.536	1.023495858	117.19
Catshead	15	20	8.081	8.525	1.054943695	169.77
