Culivar	Week	Replicate	Diameter	Length	Ratio	Weight
Limoncella	2	1	1.737	2.17	1.249280368	3.06
Limoncella	2	2	1.592	1.995	1.253140704	2.75
Limoncella	2	3	1.656	2.131	1.286835749	2.65
Limoncella	2	4	1.653	1.827	1.105263158	1.55
Limoncella	2	5	1.433	1.891	1.319609211	1.64
Limoncella	2	6	1.417	1.934	1.364855328	2.42
Limoncella	2	7	1.512	2.022	1.337301587	2.49
Limoncella	2	8	1.638	1.984	1.211233211	2.2
Limoncella	2	9	1.672	1.823	1.090311005	1.74
Limoncella	2	10	1.402	1.749	1.247503566	1.85
Limoncella	3	1	2.022	2.538	1.255192878	5.29
Limoncella	3	2	2.158	2.382	1.103799815	4.88
Limoncella	3	3	2.079	2.239	1.076960077	4.41
Limoncella	3	4	2.062	2.619	1.270126091	4.34
Limoncella	3	5	2.399	2.347	0.978324302	6.31
Limoncella	3	6	2.063	2.394	1.160445952	4.48
Limoncella	3	7	2.223	2.473	1.112460639	5.73
Limoncella	3	8	1.907	2.127	1.115364447	3.83
Limoncella	3	9	2.063	2.363	1.145419292	4.03
Limoncella	3	10	1.959	2.097	1.070444104	4.3
Limoncella	4	1	2.331	2.962	1.270699271	6.88
Limoncella	4	2	2.378	2.553	1.073591253	4.64
Limoncella	4	3	2.063	2.773	1.344158992	4.95
Limoncella	4	4	2.206	2.78	1.260199456	5.76
Limoncella	4	5	2.236	2.665	1.191860465	6.04
Limoncella	4	6	2.236	2.867	1.282200358	5.22
Limoncella	4	7	2.347	2.665	1.135492118	6.12
Limoncella	4	8	2.508	2.652	1.057416268	6.94
Limoncella	4	9	2.363	2.765	1.170122725	6.2
Limoncella	4	10	2.237	2.719	1.215467143	6.04
Limoncella	5	1	2.504	2.898	1.157348243	8.27
Limoncella	5	2	2.946	3.199	1.085879158	11.93
Limoncella	5	3	2.551	3.042	1.19247354	9.52
Limoncella	5	4	2.632	2.79	1.060030395	7.47
Limoncella	5	5	2.787	3.323	1.192321493	7.91
Limoncella	5	6	2.568	2.791	1.086838006	10.7
Limoncella	5	7	2.992	3.293	1.100601604	12.9
Limoncella	5	8	2.756	3.244	1.177068215	9.89
Limoncella	5	9	2.52	2.716	1.077777778	7.84
Limoncella	5	10	2.709	2.914	1.07567368	9.67
Limoncella	7	1	3.544	3.561	1.00479684	20.97
Limoncella	7	2	3.358	3.421	1.018761167	15.68
Limoncella	7	3	3.468	3.024	0.871972318	17.37
Limoncella	7	4	2.851	3.01	1.055769905	12.33
Limoncella	7	5	3.264	3.358	1.02879902	15.69
Limoncella	7	6	3.042	3.512	1.154503616	13.72
Limoncella	7	7	3.323	3.874	1.165814023	18.69
Limoncella	7	8	3.37	3.438	1.020178042	16.64
Limoncella	7	9	3.547	3.528	0.994643361	18.78
Limoncella	7	10	3.499	3.717	1.062303515	19.12
Limoncella	9	1	3.363	3.277	0.974427594	17.96
Limoncella	9	2	3.654	3.96	1.083743842	22.34
Limoncella	9	3	3.576	3.66	1.023489933	21.15
Limoncella	9	4	3.685	4	1.085481682	23.41
Limoncella	9	5	3.543	3.361	0.948631104	21.15
Limoncella	9	6	4.237	3.783	0.892848714	33.45
Limoncella	9	7	3.291	3.559	1.081434215	19.92
Limoncella	9	8	3.835	3.812	0.994002608	25.44
Limoncella	9	9	3.957	4.177	1.055597675	28.17
Limoncella	9	10	4.015	3.967	0.988044832	28.31
Limoncella	12	1	4.453	4.732	1.06265439	43.18
Limoncella	12	2	4.215	4.465	1.059311981	34.97
Limoncella	12	3	4.321	4.314	0.998380005	33.14
Limoncella	12	4	5.017	4.938	0.984253538	49.82
Limoncella	12	5	4.474	4.878	1.090299508	45.37
Limoncella	12	6	4.591	4.577	0.996950555	41.18
Limoncella	12	7	4.434	5.182	1.168696437	45.49
Limoncella	12	8	4.407	4.372	0.992058089	37.28
Limoncella	12	9	4.348	4.096	0.942042318	34.75
Limoncella	12	10	4.868	4.666	0.958504519	47.03
Limoncella	17	1	4.608	4.996	1.084201389	42.22
Limoncella	17	2	5.204	4.773	0.917179093	51.41
Limoncella	17	3	4.721	4.308	0.912518534	44.11
Limoncella	17	4	5.292	5.511	1.04138322	61.15
Limoncella	17	5	5.077	5.002	0.985227497	51.76
Limoncella	17	6	5.072	5.492	1.082807571	53.61
Limoncella	17	7	4.711	4.813	1.021651454	44.76
Limoncella	17	8	5.251	4.862	0.925918873	58.04
Limoncella	17	9	5.096	5.138	1.008241758	53.1
Limoncella	17	10	4.607	4.54	0.985456913	39.64
Limoncella	17	11	5.287	5.606	1.060336675	56.08
Limoncella	17	12	4.7	4.803	1.021914894	46.58
Limoncella	17	13	5.394	4.979	0.923062662	55.04
Limoncella	17	14	5.328	5.329	1.000187688	58.79
Limoncella	17	15	5.017	4.873	0.971297588	53.58
Limoncella	17	16	5.114	5.876	1.149002738	61.25
Limoncella	17	17	5.499	5.102	0.927805055	54.34
Limoncella	17	18	4.87	5.181	1.06386037	48.12
Limoncella	17	19	5.271	5.247	0.995446784	49.13
Limoncella	17	20	4.922	4.807	0.976635514	47.33
