Cultivar	Replicate	Length	Diameter	Weight	Day
Boiken	1	24.76	26.38	8.25	21
Boiken	2	24.72	27.06	9.23	21
Boiken	3	26.56	27.52	10.72	21
Boiken	4	26.14	28.84	11.34	21
Boiken	5	29.62	27.58	12.18	21
Boiken	6	26.5	28.62	10.96	21
Boiken	7	26.58	32.06	13.6	21
Boiken	8	27.02	27.92	10.14	21
Boiken	9	27.46	32.74	14.66	21
Boiken	10	24.4	25.52	8.22	21
Boiken	1	34.04	43.08	30.65	41
Boiken	2	34.84	41.36	27.93	41
Boiken	3	36.72	41.92	31.09	41
Boiken	4	39.4	43.56	34.56	41
Boiken	5	35.3	41.38	30.46	41
Boiken	6	41.42	48.54	43.55	41
Boiken	7	38.82	43.44	35.45	41
Boiken	8	38.06	43.92	35.11	41
Boiken	9	38.84	47.46	40.89	41
Boiken	10	32.04	37.06	22.25	41
Boiken	1	43.62	53.74	62.64	63
Boiken	2	50.16	59.54	86.71	63
Boiken	3	44.82	53.42	59.3	63
Boiken	4	45.32	53.76	67.55	63
Boiken	5	38.82	48.34	46.45	63
Boiken	6	38.72	44.62	39.92	63
Boiken	7	40.72	48.78	49.89	63
Boiken	8	36.5	47.52	44.01	63
Boiken	9	44.32	45.26	65.34	63
Boiken	10	41.62	52.22	56.38	63
Boiken	1	48.1	63.14	98.41	89
Boiken	2	45.32	56.3	70.2	89
Boiken	3	46.7	56.14	75.22	89
Boiken	4	49.9	66.1	107.9	89
Boiken	5	49.2	69.04	120.86	89
Boiken	6	51.5	67.4	118.93	89
Boiken	7	56.88	73.74	151.5	89
Boiken	8	55.04	66.92	116.59	89
Boiken	9	47.2	60.02	79.93	89
Boiken	10	47.42	63.54	91.16	89
Boiken	1	49.52	72.06	110.95	130
Boiken	2	66.92	83.52	215.3	130
Boiken	3	58.44	80.72	173.63	130
Boiken	4	60.34	79.06	187.95	130
Boiken	5	69.1	75.02	160.22	130
Boiken	6	62.62	77.12	171.73	130
Boiken	7	58.94	74.26	149.48	130
Boiken	8	59.32	74.04	159.6	130
Boiken	9	63.74	83.64	220.95	130
Boiken	10	60.02	74.42	156.99	130
Boiken	11	65.02	78.26	187.48	130
Boiken	12	58.42	79.72	172.6	130
Boiken	13	75.66	93.54	297.37	130
Boiken	14	60.12	79.42	175.17	130
Boiken	15	62.24	80.42	207.3	130
Boiken	16	55.02	71.44	139.57	130
Boiken	17	60.32	76.86	172.48	130
Boiken	18	64.62	77.76	179.7	130
Boiken	19	64.52	80.72	204.86	130
Boiken	20	51.62	69.82	132.35	130
